resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Ground Floor,,,,,,,,
,step,,,,G125 ACC WC,,,,,,,
Floor Preparation,checklist,,,,,Floor Prep,,,,,,
Vinyl Installation (Basic),checklist,,,,,Vinyl Installation,,,,,,
,step,,,,G.126 ACC WC Lobby,,,,,,,
Floor Preparation,checklist,,,,,Floor Prep,,,,,,
Vinyl Installation (Basic),checklist,,,,,Vinyl Installation,,,,,,
,step,,,,G.127 Cleaners,,,,,,,
Floor Preparation,checklist,,,,,Floor Prep,,,,,,
Vinyl Installation (Basic),checklist,,,,,Vinyl Installation,,,,,,
,step,,,,G.215 Airside Corridor,,,,,,,
Floor Preparation,checklist,,,,,Floor Prep,,,,,,
Vinyl Installation (Basic),checklist,,,,,Vinyl Installation,,,,,,
,step,,,,G.214 Landside Corridor,,,,,,,
Floor Preparation,checklist,,,,,Floor Prep,,,,,,
Vinyl Installation (Basic),checklist,,,,,Vinyl Installation,,,,,,
,step,,,,G.224 COMMS,,,,,,,
Floor Preparation,checklist,,,,,Floor Prep,,,,,,
Vinyl Installation (Basic),checklist,,,,,Vinyl Installation,,,,,,
,step,,,Level 1,,,,,,,,
,step,,,,G.103 COMMS Riser,,,,,,,
Floor Preparation,checklist,,,,,Floor Prep,,,,,,
Vinyl Installation (Basic),checklist,,,,,Vinyl Installation,,,,,,
,step,,,,G.105D COMMS Riser,,,,,,,
Floor Preparation,checklist,,,,,Floor Prep,,,,,,
Vinyl Installation (Basic),checklist,,,,,Vinyl Installation,,,,,,
,step,,,Level 2,,,,,,,,
,step,,,,2.22,,,,,,,
Floor Preparation,checklist,,,,,Floor Prep,,,,,,
Vinyl Installation (Basic),checklist,,,,,Vinyl Installation,,,,,,
,step,,,,2.07 COMMS & UPS,,,,,,,
Floor Preparation,checklist,,,,,Floor Prep,,,,,,
Vinyl Installation (Basic),checklist,,,,,Vinyl Installation,,,,,,
,step,,,,2.18 UPS Battery,,,,,,,
Floor Preparation,checklist,,,,,Floor Prep,,,,,,
Vinyl Installation (Basic),checklist,,,,,Vinyl Installation,,,,,,
,step,,,,2.15 UPS Battery,,,,,,,
Floor Preparation,checklist,,,,,Floor Prep,,,,,,
Vinyl Installation (Basic),checklist,,,,,Vinyl Installation,,,,,,
,step,,,,2.16 COMMS & UPS,,,,,,,
Floor Preparation,checklist,,,,,Floor Prep,,,,,,
Vinyl Installation (Basic),checklist,,,,,Vinyl Installation,,,,,,
,step,,,,2.20 Stairs (West),,,,,,,
Floor Preparation,checklist,,,,,Floor Prep,,,,,,
Vinyl Installation (Basic),checklist,,,,,Vinyl Installation,,,,,,
,step,,,,2.23 Stairs (East),,,,,,,
Floor Preparation,checklist,,,,,Floor Prep,,,,,,
Vinyl Installation (Basic),checklist,,,,,Vinyl Installation,,,,,,
,step,,,Level 3,,,,,,,,
,step,,,,3.20 Lobby West,,,,,,,
Floor Preparation,checklist,,,,,Floor Prep,,,,,,
Vinyl Installation (Basic),checklist,,,,,Vinyl Installation,,,,,,
,step,,,,3.32 Lobby East,,,,,,,
Floor Preparation,checklist,,,,,Floor Prep,,,,,,
Vinyl Installation (Basic),checklist,,,,,Vinyl Installation,,,,,,
