Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,
8623e606-df6b-4e3d-be70-716b76341b86,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Ground Level,South,Columns,C9,Electrical Services
06b4d873-fd5e-4315-8287-fa8d194f5828,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Ground Level,South,Columns,C10,Electrical Services
8cf76658-a1b2-45cd-9705-0e5313ffda37,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Ground Level,South,Columns,C11,Electrical Services
b5d2bb8c-e720-4623-82b4-f8b6d18a657c,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Ground Level,South,Columns,C13,Electrical Services
b88153d9-643c-44fa-bd08-8306f4eb4c4c,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Ground Level,West,Columns,C8,Electrical Services
3e232d6d-16ea-427d-98e0-16b1f0c8875c,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Ground Level,North,Columns,C2,Electrical Services
98823652-a4d1-4842-b05c-9b928adcb4a4,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Ground Level,North,Columns,C4,Electrical Services
972b4f00-d49c-4aa2-a738-b0b76714bd36,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Ground Level,North,Columns,C6,Electrical Services
7ee71287-3a5e-4a2c-a3f2-68e2676cd840,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 1,South,Columns,C9,Electrical Services
486f6830-dc0f-469d-aee9-d40d39706cd2,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 1,South,Columns,C10,Electrical Services
8075e9a5-249b-4994-97ba-360ca2b47263,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 1,South,Columns,C11,Electrical Services
0dcedd0d-c3ec-4c12-b178-43563d552f15,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 1,South,Columns,C13,Electrical Services
8ce58c2d-2f1d-42ca-9914-7c48709c3713,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 1,West,Columns,C8,Electrical Services
213c03b7-7831-4b01-a6e5-e32a02a468fa,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 1,North,Columns,C2,Electrical Services
9dd3a471-feab-43aa-9c3e-4e2b2c6e8c10,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 1,North,Columns,C4,Electrical Services
b4a4a23e-ff4c-4ab5-9a11-c7778e4ef7f3,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 1,North,Columns,C6,Electrical Services
6dc1206d-3b71-4bed-853d-697cd25915bf,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 2,South,Columns,C9,Electrical Services
24ac4277-e04d-4c1d-835d-a40537c7a3e5,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 2,South,Columns,C10,Electrical Services
af190ec1-33da-4bed-b12d-373fc0b3cc56,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 2,South,Columns,C11,Electrical Services
