Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
c1c532f2-209d-512f-abdc-a7ad3ad17f0d,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02,Post Pour,
11c1bbf0-beb6-5f80-9391-eeedcfeb8416,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-01,Post Pour,
af4c3a8c-effe-52df-9cbd-a0d84b26fb65,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-10,Post Pour,
e79c245a-a777-5b78-9182-c97f372516f8,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-11,Post Pour,
dd146429-0f4e-5ab0-898c-f098fe3a2d5e,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-17,Post Pour,
3ba23138-a8f2-5409-9f9e-afe3ce67f1d6,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-18,Post Pour,
5bd494ca-278c-5155-950d-94ac82a4c4e6,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-03,Post Pour,
49ff012c-1485-53e5-9438-ef6f85b95cde,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-02,Post Pour,
f7680d0b-a9a5-5134-9b77-c0345e580dd0,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-07,Post Pour,
5e615faf-d4b2-5270-99ba-da6915872525,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-04,Post Pour,
262d6c7e-3315-53e8-a103-0c9dde8397ff,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02B,Post Pour,
d8b3da79-1115-5f8f-963a-4e6509caaa19,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-05,Post Pour,
acb70b40-67ce-5779-827f-f6f1d2b1dd6f,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-08,Post Pour,
b4cd1915-261e-5d47-b9a2-677937d59fa6,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-06,Post Pour,
5cbd991f-7459-5599-8d28-f7cef7369238,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02A-1,Post Pour,
0c186870-fae1-53e7-b919-260dd7c83c30,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-9,Post Pour,
8814c791-0e7d-5989-b9eb-26ff608cee09,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-13,Post Pour,
36e40400-9855-5a00-ad0f-aaec9b78201e,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-15,Post Pour,
e9144c55-e228-5346-a67d-2a587977c3b1,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02A,Post Pour,
9ce9844b-7547-5c89-b332-9e56515c4bad,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-12,Post Pour,
998c6cf1-0ddb-5a9c-b7fc-8dc468f45414,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-16,Post Pour,
677c3a66-f7bf-5a08-9c4d-a3b795c22722,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-14,Post Pour,
9c6c786d-2fc2-55cc-96da-8b2cdb1e18f7,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-19,Post Pour,
6a063b8b-d545-51d3-b55f-f5f8b3ef00c9,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC02-20,Post Pour,
1564f9da-f289-5972-858d-c3ae9d863851,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC01,Post Pour,
4d6a813d-0cbc-5087-b374-e13021ac016c,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC01-01,Post Pour,
3e982783-3459-5c6e-8247-522aadfbe77c,,checkpoint-group,not-started,,,FALSE,FALSE,BASEMENT,COLUMNS,1BC01-02,Post Pour,
