type,name,values,prefix,postfix,usage count,user addable,template name
checklist,CH 136 - 6.0 SUBSOIL DRAINAGE - OUTLET STRUCTURES,itp,,,,,Kiwirail - North Auckland Line Recovery - CH 136 - 6.0 SUBSOIL DRAINAGE - OUTLET STRUCTURES
section,6.0 SUBSOIL DRAINAGE - OUTLET STRUCTURES,,,,,,
checkpoint,6.01 - Materials & Construction,,,,,,
label,DRAWING / SPECIFICATION REF.: T+T NAL Recovery Specifications: 4.6,,,,,,
label,SPECIFICATION DETAIL SUMMARY: Materials used and construction as per drawings or in other sections of this spec.,,,,,,
label,ACCEPTANCE CRITERIA: Materials to be used for the outlet structures shall be as specified on the drawings or in other sections of this Specification.,,,,,,
label,○ Outlet structure shall be constructed in accordance with the drawings and relevant sections of this Specs.,,,,,,
label,TEST SPEC AND FREQUENCY: For every section of outlet structure,,,,,,
label,"CONTROL TYPE I.E. CHECKSHEET / RECORDS: Photos, Dockets, QA Checksheet(s)",,,,,,
label,HOLD / WITNESS: HOLD,,,,,,
label,EXTERNAL (REQUESTED BY PS4) / INTERNAL (JFC REQUIREMENT): External,,,,,,
label,PS3 OWNER: JFC,,,,,,
label,HOLD / REVIEW / WITNESS: REVIEW,,,,,,
label,PS4 OWNER SIGN OFF: T&T,,,,,,
