resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
,step,,,Level 2,,,,,,,,,,,
,step,,,,West Elevation,,,,,,,,,,
,step,,,,,Panels,,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW064,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW065,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW066,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW067,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW068,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW069,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW070,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW071,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL072,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL073,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL074,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL075,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL076,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL077,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL078,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW079,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW080,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW081,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW082,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW083,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW084,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW085,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW086,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW087,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW088,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL089,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL090,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL091,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL092,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL093,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL094,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL095,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL096,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL097,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW098,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW099,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW100,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW101,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW102,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW103,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-SD173,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-SD174,,,,,,,,
Panel - Elevation Completion checklist,checklist,,,,,,Elevation - Final Sign Off,,,,,,,,
,step,,,,,Cladding,,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB035,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB036,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB037,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB038,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB039,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB040,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB041,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB042,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB043,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB044,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB045,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB046,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB047,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB048,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB049,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB050,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB051,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB052,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB053,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB054,,,,,,,,
Panel - Elevation Completion checklist,checklist,,,,,,Elevation - Final Sign Off,,,,,,,,
,step,,,,North Elevation,,,,,,,,,,
,step,,,,,Panels,,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW104,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW105,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW106,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW107,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW108,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW109,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW110,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW111,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW112,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL113,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL114,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL115,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL116,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL117,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL118,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL119,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL120,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL121,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL122,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL123,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW124,,,,,,,,
