Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,
ae7b7b18-2e88-4f53-ba5b-79608ab76b5e,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Cladding,L1-RB016,Cladding Completion
eedff2f6-e9e0-48d3-b2b3-b40873eaf407,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Cladding,L1-RB017,Cladding Completion
8c1cf46e-56c3-4f2b-8727-fe0ce7c57554,,checklist-flat,not-started,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Cladding,L1-RB018,Cladding Completion
87a43381-302c-425f-8612-3df99043cb5e,,checklist-flat,not-started,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Cladding,L1-RB019,Cladding Completion
f0cd5ce3-f532-4817-8865-14a9203f5cfb,,checklist-flat,not-started,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Cladding,L1-RB020,Cladding Completion
c58658bf-fdfc-449e-a69f-2ecf295c1609,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Cladding,L1-RB021,Cladding Completion
1c7bc177-6b09-4f14-8e46-1d4abad8b1ee,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Cladding,L1-RB022,Cladding Completion
6bb787aa-a537-4327-8a50-6e2ff37a3a8b,,checklist-flat,not-started,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Cladding,L1-RB023,Cladding Completion
cd684c27-9836-42fc-9c25-6809a15b94a4,,checklist-flat,not-started,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Cladding,L1-RB024,Cladding Completion
96855c74-bd15-489f-895a-b66a64ff7f85,,checklist-flat,not-started,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Cladding,L1-RB025,Cladding Completion
9aae091d-984f-4d96-81df-b31875893eb8,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Cladding,L1-RB026,Cladding Completion
30524671-51ae-409b-ba9b-e1b4229c8445,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Cladding,L1-RB027,Cladding Completion
49493f00-08d7-40c8-8719-b59c6452f52b,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Cladding,L1-RB028,Cladding Completion
aac72737-6da2-48c6-8b71-c2b4a0ebecd9,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Cladding,L1-RB029,Cladding Completion
79eecbeb-5f78-4522-819f-1e519af6426d,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Cladding,L1-RB030,Cladding Completion
914ceb30-76f1-4a2c-b1e8-0b5186d056c5,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Cladding,L1-RB031,Cladding Completion
4d8b08ce-3379-48ae-9bc3-f1d69705294e,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Cladding,L1-RB032,Cladding Completion
fadc15b3-40fb-4a1f-93e3-90c86be8ab87,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,East Elevation,Cladding,L1-RB032,Cladding Completion
88fec215-cd51-461c-a934-c4c47226347a,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,East Elevation,Cladding,L1-RB033,Cladding Completion
e6eb03af-5f7c-4b9c-9559-ab5ec90fc999,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,East Elevation,Cladding,L1-RB034,Cladding Completion
607c6262-29bd-4f98-9933-34db90f396e8,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,East Elevation,Cladding,L1-RB035,Cladding Completion
460bd3fb-3e44-47b9-a97d-451cb2a9452d,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,East Elevation,Cladding,L1-RB036,Cladding Completion
54107676-34bd-4181-89d6-9fc815e233c7,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,East Elevation,Cladding,L1-RB037,Cladding Completion
0e158506-7a84-430b-bf7e-26987f16a523,,checklist-flat,not-started,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,East Elevation,Cladding,L1-RB038,Cladding Completion
3e4b6d91-ec1a-40fa-936e-fbc5208d9406,,checklist-flat,not-started,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,East Elevation,Cladding,L1-RB039,Cladding Completion
80d9ba38-b139-42ba-922c-87b392f9f956,,checklist-flat,not-started,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,East Elevation,Cladding,L1-RB040,Cladding Completion
4f252594-fbb7-472f-8cfc-f51346ce69b7,,checklist-flat,not-started,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,East Elevation,Cladding,L1-RB041,Cladding Completion
f30d4e88-21bb-4aa6-ba8c-8bbee2151aea,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,East Elevation,Cladding,L1-RB042,Cladding Completion
0fbcc330-8a61-47d3-b166-dc176893d866,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,East Elevation,Cladding,L1-RB043,Cladding Completion
6457c631-5d70-4b21-9c23-f43c82eaebbc,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,East Elevation,Cladding,L1-RB044,Cladding Completion
ef8d297c-c238-4470-b13c-823071fdc96c,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,East Elevation,Cladding,L1-RB045,Cladding Completion
bc04afaa-5740-4d82-a15a-12eac927c9f3,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,East Elevation,Cladding,L1-RB046,Cladding Completion
de4ad697-c754-4e79-b7f7-e934be56e889,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,South Elevation,Cladding,L1-RB047,Cladding Completion
a36748bc-f6da-46b3-b851-e831fc6e0c03,,checklist-flat,not-applicable,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,South Elevation,Cladding,L1-RB048,Cladding Completion
b299f75d-e13e-49be-9960-ed82e37c69b9,,checklist-flat,pass,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 2,West Elevation,Cladding,L2-RB035,Cladding Completion
70471a13-2b96-4950-ab7a-a36f0124f5ab,,checklist-flat,pass,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 2,West Elevation,Cladding,L2-RB036,Cladding Completion
89128951-8f23-4de0-8c6e-92e978c5ed83,,checklist-flat,pass,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 2,West Elevation,Cladding,L2-RB037,Cladding Completion
e4723d96-154d-4806-baef-e2807e3d4556,,checklist-flat,pass,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 2,West Elevation,Cladding,L2-RB038,Cladding Completion
6a4336ed-e4b0-402c-b086-7aa87a498224,,checklist-flat,pass,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 2,West Elevation,Cladding,L2-RB039,Cladding Completion
c92ec7e3-8147-40d9-87b4-b78e0007da37,,checklist-flat,pass,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 2,West Elevation,Cladding,L2-RB040,Cladding Completion
6b5d85f0-ee70-4f5e-b5ba-a35980eb6025,,checklist-flat,pass,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 2,West Elevation,Cladding,L2-RB041,Cladding Completion
01fe7222-3920-42b0-95b9-9925b8c7073b,,checklist-flat,pass,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 2,West Elevation,Cladding,L2-RB042,Cladding Completion
aadea31f-299d-41db-854c-904d527141ff,,checklist-flat,pass,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 2,West Elevation,Cladding,L2-RB043,Cladding Completion
5977e67e-5853-4ca7-9c02-47c245953208,,checklist-flat,pass,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 2,West Elevation,Cladding,L2-RB044,Cladding Completion
4895756b-ceb3-4291-aae9-9d853ff33ed2,,checklist-flat,pass,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 2,West Elevation,Cladding,L2-RB045,Cladding Completion
0b8678e0-fba1-45a4-a4ad-993df537ce3a,,checklist-flat,pass,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 2,West Elevation,Cladding,L2-RB046,Cladding Completion
1968beb6-bea5-4ef9-b066-a82e81ff49d5,,checklist-flat,pass,zSYS - Cladding Completion Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Level 2,West Elevation,Cladding,L2-RB047,Cladding Completion
