type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",,,,,,"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes"
checkpoint,All units & scribers in apartment,,,,,,
checkpoint,Joinery free from damage pre install,,,,,,
checkpoint,Joinery installed free from defect and damage,,,,,,
checkpoint,"Silicone installed, correct colour & clean and tidy",,,,,,
checkpoint,Joinery and Cabinets installation completed - specified level of finish achieved,,,,,,
,,,,,,,
checklist-flat,CST - S - Completion Documents,,,,,,CST - S - Completion Documents
checkpoint,All relevant Compliance Documentation completed and attached above,,,,,,
button,Any Additional Compliance Documentation (Required under Section C and by Consultants) - Completed and Attached,"Yes,No",,,,,
label,"Do not select ""Pass"" HERE until all requirements have been marked as ""Yes"" & attached or you have selected ""N/A""",,,,,,
holdpoint,Request Signoff,,,,,,
,,,,,,,
checklist-flat,Post - S - Splashback Installation,,,,,,Post - S - Splashback Installation
checkpoint,Splashback correct size as per plans,,,,,,
checkpoint,"Splashback free from chips, cracks and scratches (Attach photos)",,,,,,
checkpoint,Splashback fastened to surface correctly and square (Attach photos),,,,,,
checkpoint,Silicon seal appropriate (Attach photos),,,,,,
checkpoint,Correct colour as per scope,,,,,,
holdpoint,Raise remedial/Request signoff,,,,,,
