type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Rough In,,,,,,Rough In
checkpoint,Confirm area of work is accessible & acceptable to commence (If not comment below),,,,,,
checkpoint,Setout & alignment as per drawing (include revision below),,,,,,
checkpoint,Hole cores completed,,,,,,
checkpoint,Cold water and hot water installed as per AS3500 and tested to 15 00Kpa. (Twice),,,,,,
checkpoint,Suspended pipework is supported as per as 3500,,,,,,
checkpoint,Lagging installed. (if required),,,,,,
checkpoint,"Fire collars installed, sealed and smoke sealed . (Fill in unused penetrations)",,,,,,
checkpoint,Basin wastes and noggins installed to correct height,,,,,,
checkpoint,In wall cisterns installed to correct height. (if required),,,,,,
