type,name,values,prefix,postfix,usage count,user addable,template name
checklist,S - S - Electrical,,,,,,Stage 7 - S - S - Electrical
section,First Fix,,,,,,
checkpoint,Handover Accepted/Nogs Installed and area clean and tidy before starting,,,,,,
checkpoint,"Check all drawings, plan symbols are identified and wired for, raise any anomalies",,,,,,
checkpoint,Check wall and ceiling outlets and fitting positions against Architectural/ Electrical drawings and acceptable,,,,,,
checkpoint,Check for any purchaser variations/ client extras,,,,,,
checkpoint,Check all power & light feeds present and acceptable,,,,,,
checkpoint,Check loop wires insatlled and acceptable,,,,,,
checkpoint,All joinery plans are followed and correct position of outlets installed and acceptable,,,,,,
checkpoint,Flush boxes straight and level and acceptable,,,,,,
checkpoint,Fire rated flush boxes where required + fire pads installed and acceptable,,,,,,
checkpoint,Lights are marked out on plans or floor ready for cut out,,,,,,
checkpoint,Electrical First Fix completed and acceptable and area clean and tidy for next trade,,,,,,
section,Second Fix,,,,,,
checkpoint,All cover plates in place & fitted correctly and striaght ,,,,,,
checkpoint,All light fittings tight & secure and acceptable,,,,,,
checkpoint,All cables are tied up,,,,,,
checkpoint,Switch board fit off is completed and acceptable,,,,,,
checkpoint,Test sheet for insulation Resistance are completed and acceptable,,,,,,
checkpoint,Fixtures level & in place and acceptable ,,,,,,
holdpoint,Request Signoff,,,,,,
,,,,,,,
checklist-flat,CST - S - Completion Documents,,,,,,Stage 7 - CST - S - Completion Documents
checkpoint,All relevant Compliance Documentation completed and attached above,,,,,,
button,"LBP Memorandum/ Record of works filled out, signed and attached","Yes,No",,,,,
button,Any Additional Compliance Documentation - Completed and Attached,"Yes,No",,,,,
label,"Do not select ""Pass"" HERE until all requirements have been marked as ""Yes"" & attached or you have selected ""N/A""",,,,,,
holdpoint,Request Signoff,,,,,,
