Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Miriam Corban - Overall Progress,,,,,,
,Scope,,,Miriam Corban,,
,Rows,,,,,
,,Miriam Corban,dynamic,Village Washdown,Miriam Corban,
,Columns,,,,,
,,Plaster Washdown,,Plaster Washdown,,
,,Path Treatments & Lamp Cleaning,,Path Treatments & Lamp Cleaning,,
,,Roof wash & Treatments,,Roof wash & Treatments,,
,,Roof wash & Treatment,,Roof wash & Treatment,,
,,Gutter debris removal,,Gutter debris removal,,
,,Spider Treatments,,Spider Treatments,,
,,Oamaru Stone,,Oamaru Stone,,
,,,,,,
Miriam Corban - Detailed Progress,,,,,,
,Scope,,,Miriam Corban,,
,Rows,,,,,
,,Stage 2 - Assid,dynamic,Stage 2 - Assid,Village Washdown,Miriam Corban
,,Stage 2 - Zealandia,dynamic,Stage 2 - Zealandia,Village Washdown,Miriam Corban
,,Stage 2 - Hataitai,dynamic,Stage 2 - Hataitai,Village Washdown,Miriam Corban
,,Stage 2 - Lebanon,dynamic,Stage 2 - Lebanon,Village Washdown,Miriam Corban
,,Stage 2 Building A Assid ,dynamic,Stage 2 Building A Assid ,Village Washdown,Miriam Corban
,,Building B,dynamic,Building B,Village Washdown,Miriam Corban
,,Stage 3 - Laidlaw,dynamic,Stage 3 - Laidlaw,Village Washdown,Miriam Corban
,,Stage 4 - Lincoln,dynamic,Stage 4 - Lincoln,Village Washdown,Miriam Corban
,Columns,,,,,
,,Scope area & notes,,scope area & notes,,
,,Surface clean & free of loose detritus material,,surface clean and free of loose detritus material,,
,,Moss & Mould cleaned away,,moss and mould cleaned away,,
,,Paths fully cover with Wet & Leave Product,,paths should be fully cover with the wet and leave product,,
,,Exterior Lighting/General wash/application of biological growth prevention agent,,exterior lighting ( free standing ) general wash and application of biological growth prevention agent,,
,,Moss & Mould removed,,moss and mould removed,,
,,Surface fully coated in the Wet & leave product,,the surface should be fully coated in the wet and leave product.,,
,,Post completion gutters clear & free of all loose material,,"post completion the gutters should be clear and free of all loose material i.e grass, leaves, and other debris.",,
,,Gutters sections with leaf guards cannot be cleared & water may be used,,"gutters sections with leaf guards cannot be cleared, and water may be used in these areas",,
,,Continuous application of spiderproofing product by Sprayer to areas,,continuous application of the spiderproofing product by sprayer to the areas as described,,
