Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Kiri Te Kanawa - Overall Progress,,,,,,
,Scope,,,Kiri Te Kanawa,,
,Rows,,,,,
,,Village Washdown,dynamic,Village Washdown,Kiri Te Kanawa,
,Columns,,,,,
,,Plaster Washdown,,Plaster Washdown,,
,,Path Treatments & Lamp Cleaning,,Path Treatments & Lamp Cleaning,,
,,Fences & Retaining Walls Cleaning,,Fences & Retaining Walls Cleaning,,
,,Brickwork Washdown,,Brickwork Washdown,,
,,Roof wash & Treatment,,Roof wash & Treatment,,
,,Gutter debris removal,,Gutter debris removal,,
,,Spider Treatments,,Spider Treatments,,
,,,,,,
Kiri Te Kanawa - Detailed Progress,,,,,,
,Scope,,,Kiri Te Kanawa,,
,Rows,,,,,
,,Inependent Apartments / Main Block,dynamic,Inependent Apartments / Main Block,Village Washdown,Kiri Te Kanawa
,,Village Centre / Care Centre,dynamic,Village Centre / Care Centre,Village Washdown,Kiri Te Kanawa
,,Town Houses,dynamic,Town Houses,Village Washdown,Kiri Te Kanawa
,Columns,,,,,
,,Scope area & notes,,scope area & notes,,
,,Surface clean & free of loose detritus material,,surface clean and free of loose detritus material,,
,,Moss & Mould cleaned away,,moss and mould cleaned away,,
,,Paths fully cover with Wet & Leave Product,,paths should be fully cover with the wet and leave product,,
,,Exterior Lighting/General wash/application of biological growth prevention agent,,exterior lighting ( free standing ) general wash and application of biological growth prevention agent,,
,,Moss & Mould removed,,moss and mould removed,,
,,Surface fully coated in the Wet & leave product,,the surface should be fully coated in the wet and leave product.,,
,,Post completion gutters clear & free of all loose material,,"post completion the gutters should be clear and free of all loose material i.e grass, leaves, and other debris.",,
,,Gutters sections with leaf guards cannot be cleared & water may be used,,"gutters sections with leaf guards cannot be cleared, and water may be used in these areas",,
,,Continuous application of spiderproofing product by Sprayer to areas,,continuous application of the spiderproofing product by sprayer to the areas as described,,
,,,,,,
Margaret Stoddart - Overall Progress,,,,,,
,Scope,,,Margaret Stoddart,,
,Rows,,,,,
,,Village Washdown,dynamic,Village Washdown,Margaret Stoddart,
,Columns,,,,,
,,Plaster Washdown,,Plaster Washdown,,
,,Path Treatments & Lamp Cleaning,,Path Treatments & Lamp Cleaning,,
,,Roof wash & Treatments,,Roof wash & Treatments,,
,,Gutter debris removal,,Gutter debris removal,,
,,Spider Treatments,,Spider Treatments,,
,,Oamaru Stone,,Oamaru Stone,,
,,,,,,
,,,,,,
Margaret Stoddart - Detailed Progress,,,,,,
,Scope,,,Margaret Stoddart,,
,Rows,,,,,
,,Village centre / Rest home / Studio Units,dynamic,Village centre / Rest home / Studio Units,Village Washdown,Margaret Stoddart
,,Town Houses 1 - 20,dynamic,Town Houses 1 - 20,Village Washdown,Margaret Stoddart
,Columns,,,,,
,,Scope area & notes,,scope area & notes,,
,,Surface clean & free of loose detritus material,,surface clean and free of loose detritus material,,
,,Moss & Mould cleaned away,,moss and mould cleaned away,,
,,Paths fully cover with Wet & Leave Product,,paths should be fully cover with the wet and leave product,,
,,Exterior Lighting/General wash/application of biological growth prevention agent,,exterior lighting ( free standing ) general wash and application of biological growth prevention agent,,
,,Moss & Mould removed,,moss and mould removed,,
,,Surface fully coated in the Wet & leave product,,the surface should be fully coated in the wet and leave product.,,
,,Post completion gutters clear & free of all loose material,,"post completion the gutters should be clear and free of all loose material i.e grass, leaves, and other debris.",,
,,Gutters sections with leaf guards cannot be cleared & water may be used,,"gutters sections with leaf guards cannot be cleared, and water may be used in these areas",,
,,Continuous application of spiderproofing product by Sprayer to areas,,continuous application of the spiderproofing product by sprayer to the areas as described,,
