resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Kone Site QA,,,,,,,,
,step,,,,Building A,,,,,,,
QD-181.218_en_C.2_main Monospace,checklist,,,,,Lift 1 ,,,,,,
QD-00043_en_A.1_main Minispace low rise,checklist,,,,,Lift 2,,,,,,
QD-00043_en_A.1_main Minispace low rise,checklist,,,,,Lift 3,,,,,,
QD-00043_en_A.1_main Minispace low rise,checklist,,,,,Lift 4,,,,,,
QD-181.218_en_C.2_main Monospace,checklist,,,,,Lift 5,,,,,,
QD-181.218_en_C.2_main Monospace,checklist,,,,,Lift 6,,,,,,
QD-181.218_en_C.2_main Monospace,checklist,,,,,Lift 7,,,,,,
QD-181.218_en_C.2_main Monospace,checklist,,,,,Lift 8,,,,,,
,step,,,,,Lift 9,,,,,,
,step,,,,,Lift 10,,,,,,
,step,,,,,Lift 11,,,,,,
,step,,,,,Lift 12,,,,,,
,step,,,,,Lift 13,,,,,,
,step,,,,,Lift 14,,,,,,
,step,,,,,Lift 15,,,,,,
,step,,,,Building B,,,,,,,
,step,,,,,Lift 1 ,,,,,,
,step,,,,,Lift 2,,,,,,
,step,,,,,Lift 3,,,,,,
,step,,,,,Lift 4,,,,,,
,step,,,,,Lift 5,,,,,,
,step,,,,,Lift 6,,,,,,
,step,,,,,Lift 7,,,,,,
,step,,,,,Lift 8,,,,,,
,step,,,,Building C,,,,,,,
