resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,step,,,Site QA,,,,,,,,
,,,,step,,,,Building A,,,,,,,
,,,,step,,,,,Ground floor,,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,Corridor,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,AG01,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,AG02,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,AG03,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,AG04,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,AG05,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,AG06,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,AG07,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,AG08,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,AG09,,,,,
,,,,step,,,,,Level 1,,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,Corridor,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,A101,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,A102,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,A103,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,A104,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,A105,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,A106,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,A107,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,A108,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,A109,,,,,
,,,,step,,,,,Level 2,,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,Corridor,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,A201,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,A202,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,A203,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,A204,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,A205,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,A206,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,A207,,,,,
Plastering & Internal Hebel,External CFC cladding,Internal wall and ceiling painting,External wall and Balcony Soffit painting,folder-with-checklists,,,,,,A208,,,,,
