resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA,,,,,,,,
,step,,,,Level 1,,,,,,,
Plastering & Internal Hebel,checklist,,,,,Corridor,,,,,,
Plastering & Internal Hebel,checklist,,,,,U101,,,,,,
Plastering & Internal Hebel,checklist,,,,,U102,,,,,,
Plastering & Internal Hebel,checklist,,,,,U103,,,,,,
Plastering & Internal Hebel,checklist,,,,,U104,,,,,,
Plastering & Internal Hebel,checklist,,,,,U105,,,,,,
Plastering & Internal Hebel,checklist,,,,,U106,,,,,,
Plastering & Internal Hebel,checklist,,,,,U107,,,,,,
Plastering & Internal Hebel,checklist,,,,,U108,,,,,,
Plastering & Internal Hebel,checklist,,,,,U109,,,,,,
,step,,,,Level 2,,,,,,,
Plastering & Internal Hebel,checklist,,,,,Corridor,,,,,,
Plastering & Internal Hebel,checklist,,,,,U201,,,,,,
Plastering & Internal Hebel,checklist,,,,,U202,,,,,,
Plastering & Internal Hebel,checklist,,,,,U203,,,,,,
Plastering & Internal Hebel,checklist,,,,,U204,,,,,,
Plastering & Internal Hebel,checklist,,,,,U205,,,,,,
Plastering & Internal Hebel,checklist,,,,,U206,,,,,,
Plastering & Internal Hebel,checklist,,,,,U207,,,,,,
Plastering & Internal Hebel,checklist,,,,,U208,,,,,,
Plastering & Internal Hebel,checklist,,,,,U209,,,,,,
