resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Level 4,,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B01,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B02,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B03,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B04,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B05,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B06,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B07,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B09,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B10,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B11,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B12,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B13,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B14,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B15,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B16,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B17,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B18,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B19,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B20,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B21,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B27,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B28,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B29,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B30,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B31,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B32,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B33,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B34,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B35,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B36,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B37,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B38,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B39,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B40,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B41,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B42,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B43,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B44,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B45,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B46,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-4B47,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P02,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P03,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P04,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P05,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P07,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P09,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P10,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P11,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P12,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P20,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P22,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P23,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P24,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P25,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P26,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P27,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P28,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P37,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P42,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P43,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P45,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P48,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P49,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P52,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P54,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P55,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P57,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P60,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P61,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P73,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P74,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P76,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P24,,,,,,,
Commercial Projects Checklist V3,checklist,,,,A-L4P45,,,,,,,
