resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Building C,,,,,,,,
,step,,,Building D,,,,,,,,
,step,,,,Level B1,,,,,,,
,step,,,,Level B2,,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C101,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C102,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C103,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C104,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C105,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C106,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C107,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C108,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C109,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C110,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C111,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C112,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C113,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C114,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C115,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C116,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C117,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C118,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C119,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C120,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C121,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C122,,,,,,
Commercial Projects Checklist V5,checklist,,,,,D-B2-C123,,,,,,
