"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d326e561-4fe8-4090-bb13-5e2c150c240b","","folder-normal","pass","","step","TRUE","FALSE","Building A"
"9eec7da1-2443-46dd-89ac-7ecc03919415","","folder-normal","pass","","step","TRUE","FALSE","Building A","Ground Floor"
"63485334-2ad2-4be9-90f2-c0b5c0651ab3","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-CP42"
"e7a7b28e-102b-46ae-8e06-073a62b39c57","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-CP43"
"2af80a40-1cff-47d7-929c-2615a7fdca5b","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Building A","Ground Floor","G-CP58"
"f82ad6b4-12a9-4355-93e8-157f31701b27","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-CP68"
"a5cce093-8bae-4382-afd6-2468f5121530","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-CP69"
"ad4fa32f-de19-41e9-8cf8-4b2b84412267","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-CP70"
"007e6899-ac1a-4bc4-9290-a824126aa61a","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-CP71"
"fc7989e7-5085-4cb9-ba1c-83c09bf0acaf","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Building A","Ground Floor","G-CP72"
"da8b89b9-f7b8-41d6-bb62-5865d6c995ff","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Building A","Ground Floor","G-CP73"
"eeef17aa-a6cc-4926-9651-7ba1c5f94464","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Building A","Ground Floor","G-CP74"
"100115aa-523e-4913-b0ca-33d9f34a3d12","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P01"
"55e822ec-acf0-47d8-a2f7-55dd99780fd4","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P02"
"5fb0df75-8dbb-4655-b521-809674564d8c","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P03"
