"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3231c91f-7fb9-4ce4-97f1-5a31609be4a3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Walloon"
"993a3652-9768-4062-9220-b43764593a2e","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","1"
"fa15c571-d922-4bd8-ba80-c870cb337d98","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","2"
"6f7d146d-32dd-4eea-ba48-fcd473039b28","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","3"
"85d9d398-a203-4113-b54a-f33185fb706b","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","4"
"804c5114-044b-417a-bbde-a2789e13216e","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","5"
"602fe0ec-1815-4901-91f1-eaca4a8c171a","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","6"
"7a1d2672-2df3-4a61-896d-3cb0f43f47e2","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","7"
"eb49ff71-37fa-42cc-b7a5-09a876452a5a","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","8"
"daee67f1-1196-4222-8f93-2735abc15523","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","9"
"85c28b29-8040-4b68-b851-1b07034ad1ca","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","10"
"4f2fc827-beb5-44f1-aec6-bfb55dbdacf2","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","11"
"2793f822-9f60-45fe-b316-5d820b4aa379","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","12"
"dc2a016d-bd14-4370-b87f-05aa952e60cf","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","13"
"4d5a36ca-2d0b-4d6b-adb5-ab8cc1964f3b","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","14"
"938261ee-6313-4da1-ae1c-acffe3453015","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","15"
"145fae79-77e4-464d-812c-0a843574b923","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","16"
"fbac9e9b-222e-4b43-8de7-f94652b1a0cd","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","17"
"26333603-8d33-4735-8097-c494d19184d0","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","18"
"d47e6aa6-f423-44c7-b244-690d3d524415","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","19"
"44f8005f-7931-4f61-bb3e-c8aa768d030c","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","20"
"199a7c42-62a8-4bde-94a5-3d67027170ed","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","21"
"5af6db23-8246-4d95-9f68-aae08fca08b8","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","101"
"090f1572-2c92-41e1-8d74-f2751ca4cdec","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","102"
"fa54498f-4dc6-4bb4-a3c3-db09709ab76c","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","103"
"4849d817-d278-4697-ad15-8f4004f3405a","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","104"
"f1199e55-2170-4dc1-9754-73bf177dbc7a","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","105"
"cfe881d2-0928-4819-9e59-1517c1caee5f","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","106"
"78686212-ba25-4b2a-9d69-d0dc519ff631","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","107"
"feb5564a-f386-49f0-ae2d-e73bf4798a45","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","108"
"994b5077-7aeb-4e5c-8224-9c146c05426f","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","109"
"aaea6b37-f7bf-4db1-b64d-7190913f4790","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","110"
"5be0233f-9ccb-47de-a90c-ad22794da02a","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","111"
"6b6361d0-7659-4637-a53c-fe48ad260b43","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","112"
"fe7df6e6-67ce-499b-b97b-c234a329c457","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","113"
"4e123575-dcbd-41aa-a357-afe6ffeb7500","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","114"
