"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"67107d92-db40-43f3-8f7f-553a737abd47","","folder-normal","","","step","TRUE","FALSE","Documentation"
"4c612945-6c99-4a0d-9f45-3c444403c4a5","","checklist-flat","","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Documentation","Sprinkler Control Valve Detail"
"868469f7-e035-4f25-a3a3-962c92fd3e43","","checklist-flat","","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Documentation","Fire Hydrant Detail"
"bf446af2-d1e1-43fe-b34d-d7c64a087c0f","","checklist-flat","","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Documentation","Hose Reel Detail"
"39bb0de2-7232-4d5d-b8e7-238128792038","","checklist-flat","","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Documentation","Booster Detail"
"f1e13f20-1018-41f0-99f2-5b4e569a9a21","","folder-normal","","","step","TRUE","FALSE","Shop Drawings"
"24e1a6c1-e5a2-4d8b-a438-85efe270f077","","checklist-flat","","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Shop Drawings","Shop Drawing"
"294a07fa-bc32-4456-9277-cfe19322edbd","","folder-normal","","","step","TRUE","FALSE","Leemark - Site QA"
"979e2916-5c28-40fd-a812-6976a1072264","","folder-normal","","","step","TRUE","FALSE","Leemark - Site QA","Levels"
"9a384283-a4ab-4478-87f0-f372ca089e53","","folder-normal","","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire"
"8c94cfcd-a415-4b00-b7c0-83ad1ec0c046","","checklist-flat","","Pre-start checklist (V.090322)","checklist-flat","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Pre-Start"
"aed29306-10ba-46bf-9365-7f2891c484d0","","folder-normal","","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Basement"
"d46934f5-0c9f-44a8-99cd-0a96a9dc431f","","checklist-sectioned","","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Basement","Sprinkler Installation/Fitoff"
"c68cfe52-d505-4dfa-9bb3-01dbf56ca457","","checklist-sectioned","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Basement","Sprinkler & Hydrant Hydrostatic Test"
"cc6fb313-18f3-4c88-bf4f-85653dfdf2ca","","checklist-sectioned","","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Basement","Sprinkler Control Valve"
"849536e4-8747-4616-9927-b1555edb9fbc","","checklist-sectioned","","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Basement","Hydrant Installation"
"2d6a6e7d-f631-47db-8db0-2bce2745fb00","","checklist-sectioned","","LM-FOR-40-ITR-302.3 Hose Reel Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Basement","Hose Reel Installation"
"84d0492f-41f2-4606-b9e1-286e865086d3","","folder-normal","","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Ground"
"0b9e2e3d-7b12-4be1-92ec-e51a7e0bf9db","","checklist-sectioned","","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Ground","Sprinkler Installation/Fitoff"
"74c71d2b-30d4-4c63-a6d3-9131192c0417","","checklist-sectioned","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Ground","Sprinkler & Hydrant Hydrostatic Test"
"b60ceed3-841e-43af-9f77-326dd3e881d5","","checklist-sectioned","","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Ground","Sprinkler Control Valve"
"d5b3f2a8-7b42-433d-ba35-6358657c34c3","","checklist-sectioned","","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Ground","Hydrant Installation"
