"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e96e24e7-4ee8-4c65-a57b-33f93c2d890f","","","","folder","TRUE","FALSE","Wet Fire"
"bab4f788-2a9c-4c51-8e1f-fa97dfe8abae","","","","folder","TRUE","FALSE","Wet Fire","Main Trading Floor"
"013a3478-b1bc-450c-8be7-535e952372a4","","","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Wet Fire","Main Trading Floor","Sprinkler installation/Fit Off"
"c03410b2-b4d9-4806-b0b2-fdd62927a6ce","","","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Wet Fire","Main Trading Floor","Sprinkler Control Valve"
"8faad9ee-9536-4569-af16-32a1ef4bc09e","","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Wet Fire","Main Trading Floor","Sprinkler & Hydrant Hydrostatic Test"
"8465ca71-fe66-462f-9728-26255f4266aa","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","Main Trading Floor","Hydrant Installation"
"7833c704-cda0-4c75-aa9b-9429fd9ef3e8","","","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","Main Trading Floor","Hose Reel Installation"
"2e31c6ad-f2df-4edb-9259-30f2daa04ab5","","","","folder","TRUE","FALSE","Wet Fire","Administration Offices"
"ef70acd6-20e3-433c-8d42-80bc4773dd23","","","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Wet Fire","Administration Offices","Sprinkler installation/Fit Off"
"35c14985-69c7-439c-9939-1467a0b40b8a","","","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Wet Fire","Administration Offices","Sprinkler Control Valve"
"5fb8c265-bca0-45fd-b08a-75b25078a8e9","","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Wet Fire","Administration Offices","Sprinkler & Hydrant Hydrostatic Test"
"c7f31656-5b43-436e-ae15-0027ae666179","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","Administration Offices","Hydrant Installation"
