resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,,step,,,Documentation,,,,,,,,
Document Attachment ITP (V.220421),,,,,,,checklist,,,,Sprinkler Control Valve Detail,,,,,,,
Document Attachment ITP (V.220421),,,,,,,checklist,,,,Fire Hydrant Detail,,,,,,,
Document Attachment ITP (V.220421),,,,,,,checklist,,,,Hose Reel Detail,,,,,,,
Document Attachment ITP (V.220421),,,,,,,checklist,,,,Booster Detail,,,,,,,
,,,,,,,step,,,Leemark Site QA,,,,,,,,
,,,,,,,step,,,,Wet Fire,,,,,,,
LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff,LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121),LM-FOR-30-ITR-301.2 Alarm Control Valve (V.171121),LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121),LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121),LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121),LM-FOR-40-ITR-302.5 Booster Assembly (V.171121),folder-with-checklists,,,,,Installation 1,,,,,,
LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff,LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121),LM-FOR-30-ITR-301.2 Alarm Control Valve (V.171121),LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121),LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121),LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121),LM-FOR-40-ITR-302.5 Booster Assembly (V.171121),folder-with-checklists,,,,,Installation 2,,,,,,
LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff,LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121),LM-FOR-30-ITR-301.2 Alarm Control Valve (V.171121),LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121),LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121),LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121),LM-FOR-40-ITR-302.5 Booster Assembly (V.171121),folder-with-checklists,,,,,Installation 3,,,,,,
LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff,LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121),LM-FOR-30-ITR-301.2 Alarm Control Valve (V.171121),LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121),LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121),LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121),LM-FOR-40-ITR-302.5 Booster Assembly (V.171121),folder-with-checklists,,,,,Office,,,,,,
LM-FOR-40-ITR-302.1 Fire Pump Installation (V.171121),LM-FOR-40-ITR-302.4 Tank Installation (V.171121),,,,,,folder-with-checklists,,,,,Pumps & Tanks,,,,,,
,,,,,,,step,,,,Dry Fire,,,,,,,
LM-FOR-50-ITR-303.2 Ewis Installation (V.171121),LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121),LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121),LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421),,,,folder-with-checklists,,,,,Installation 1,,,,,,
LM-FOR-50-ITR-303.2 Ewis Installation (V.171121),LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121),LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121),LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421),,,,folder-with-checklists,,,,,Installation 2,,,,,,
LM-FOR-50-ITR-303.2 Ewis Installation (V.171121),LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121),LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121),LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421),,,,folder-with-checklists,,,,,Installation 3,,,,,,
LM-FOR-50-ITR-303.2 Ewis Installation (V.171121),LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121),LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121),LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421),,,,folder-with-checklists,,,,,Office,,,,,,
LM-FOR-50-ITR-303.1 Fire Panel Installation (V.171121),,,,,,,folder-with-checklists,,,,,Fire Panel,,,,,,
