resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA - 32 Brentford,,,,,,,,
,step,,,,Preline/Interior Fitout,,,,,,,
,step,,,,,Level 1,,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 1,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 2,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 3,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 4,,,,,
,step,,,,,Level 2,,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 1,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 2,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 3,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 4,,,,,
,step,,,,,Level 3,,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 1,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 2,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 3,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 4,,,,,
,step,,,,,Level 4,,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 1,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 2,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 3,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 4,,,,,
,step,,,,,Level 5,,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 1,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 2,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 3,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 4,,,,,
,step,,,,,Level 6,,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 1,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 2,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 3,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 4,,,,,
,step,,,,,Level 7,,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 1,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 2,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 3,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 4,,,,,
,step,,,,Exterior,,,,,,,
QA - Exterior Finishes,checklist,,,,,North Elevation,,,,,,
QA - Exterior Finishes,checklist,,,,,South Elevation,,,,,,
QA - Exterior Finishes,checklist,,,,,West Elevation,,,,,,
QA - Exterior Finishes,checklist,,,,,East Elevation,,,,,,
QA - Roof Framing,checklist,,,,Roof,,,,,,,
,step,,,Site QA - 34 Brentford,,,,,,,,
,step,,,,Preline/Interior Fitout,,,,,,,
,step,,,,,Level 1,,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 1,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 2,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 3,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 4,,,,,
,step,,,,,Level 2,,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 1,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 2,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 3,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 4,,,,,
,step,,,,,Level 3,,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 1,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 2,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 3,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 4,,,,,
,step,,,,,Level 4,,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 1,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 2,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 3,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 4,,,,,
,step,,,,,Level 5,,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 1,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 2,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 3,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 4,,,,,
,step,,,,,Level 6,,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 1,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 2,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 3,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 4,,,,,
,step,,,,,Level 7,,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 1,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 2,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 3,,,,,
QA - Interior Fitout,checklist,,,,,,Apartment 4,,,,,
,step,,,,Exterior,,,,,,,
QA - Exterior Finishes,checklist,,,,,North Elevation,,,,,,
QA - Exterior Finishes,checklist,,,,,South Elevation,,,,,,
QA - Exterior Finishes,checklist,,,,,West Elevation,,,,,,
QA - Exterior Finishes,checklist,,,,,East Elevation,,,,,,
QA - Roof Framing,checklist,,,,Roof,,,,,,,
