Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Detailed Progress Matrix (L31-L37),,,,,,,
,Scope,,,Site QA,,,
,Rows,,,,,,
,,Level 31,grouping,Level 31,,,
,,Circle,grouping,Circle,,,
,,L31-001,,L31-001,Circle,Level 31,Site QA
,,L31-002,,L31-002,Circle,Level 31,Site QA
,,L31-003,,L31-003,Circle,Level 31,Site QA
,,L31-004,,L31-004,Circle,Level 31,Site QA
,,L31-005,,L31-005,Circle,Level 31,Site QA
,,L31-010,,L31-010,Circle,Level 31,Site QA
,,L31-011,,L31-011,Circle,Level 31,Site QA
,,L31-012,,L31-012,Circle,Level 31,Site QA
,,L31-013,,L31-013,Circle,Level 31,Site QA
,,L31-014,,L31-014,Circle,Level 31,Site QA
,,L31-041,,L31-041,Circle,Level 31,Site QA
,,L31-042,,L31-042,Circle,Level 31,Site QA
,,L31-043,,L31-043,Circle,Level 31,Site QA
,,L31-044,,L31-044,Circle,Level 31,Site QA
,,L31-049,,L31-049,Circle,Level 31,Site QA
,,L31-050,,L31-050,Circle,Level 31,Site QA
,,L31-051,,L31-051,Circle,Level 31,Site QA
,,L31-052,,L31-052,Circle,Level 31,Site QA
,,L31-053,,L31-053,Circle,Level 31,Site QA
,,L31-054,,L31-054,Circle,Level 31,Site QA
,,L31-055,,L31-055,Circle,Level 31,Site QA
,,L31-056,,L31-056,Circle,Level 31,Site QA
,,L31-057,,L31-057,Circle,Level 31,Site QA
,,L31-058,,L31-058,Circle,Level 31,Site QA
,,L31-059,,L31-059,Circle,Level 31,Site QA
,,L31-060,,L31-060,Circle,Level 31,Site QA
,,L31-061,,L31-061,Circle,Level 31,Site QA
,,L31-062,,L31-062,Circle,Level 31,Site QA
,,L31-063,,L31-063,Circle,Level 31,Site QA
,,L31-068,,L31-068,Circle,Level 31,Site QA
,,L31-069,,L31-069,Circle,Level 31,Site QA
,,L31-070,,L31-070,Circle,Level 31,Site QA
,,L31-071,,L31-071,Circle,Level 31,Site QA
,,L31-072,,L31-072,Circle,Level 31,Site QA
