resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Corridors,,,,,,,,
,step,,,,Building C1,,,,,,,
Corridors,checklist,,,,,Level 1,,,,,,
Corridors,checklist,,,,,Level 2,,,,,,
Corridors,checklist,,,,,Level 3,,,,,,
Corridors,checklist,,,,,Level 4,,,,,,
,step,,,,Building C2,,,,,,,
Corridors,checklist,,,,,Level 1,,,,,,
Corridors,checklist,,,,,Level 2,,,,,,
Corridors,checklist,,,,,Level 3,,,,,,
Corridors,checklist,,,,,Level 4,,,,,,
,step,,,,Building C3,,,,,,,
Corridors,checklist,,,,,Level 1,,,,,,
Corridors,checklist,,,,,Level 2,,,,,,
Corridors,checklist,,,,,Level 3,,,,,,
Corridors,checklist,,,,,Level 4,,,,,,
,step,,,,Building D1,,,,,,,
Corridors,checklist,,,,,Level 1,,,,,,
Corridors,checklist,,,,,Level 2,,,,,,
Corridors,checklist,,,,,Level 3,,,,,,
Corridors,checklist,,,,,Level 4,,,,,,
,step,,,,Building D2,,,,,,,
Corridors,checklist,,,,,Level 1,,,,,,
Corridors,checklist,,,,,Level 2,,,,,,
Corridors,checklist,,,,,Level 3,,,,,,
Corridors,checklist,,,,,Level 4,,,,,,
,step,,,Meter Assemblies & Risers,,,,,,,,
,step,,,,Building C1,,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 1,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 2,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 3,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 4,,,,,,
,step,,,,Building C2,,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 1,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 2,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 3,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 4,,,,,,
,step,,,,Building C3,,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 1,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 2,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 3,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 4,,,,,,
,step,,,,Building D1,,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 1,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 2,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 3,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 4,,,,,,
,step,,,,Building D2,,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 1,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 2,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 3,,,,,,
Meter Assemblies & Risers,checklist,,,,,Level 4,,,,,,
