Step Id,Warnings,State,Checklist Template,Type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6
ca83b3bc-9388-4335-8457-0171410e3fcf,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 1,01.13,ENSUITE Fit Off,
423d769c-00ad-4115-83d2-98184d554b2e,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 1,01.14,ENSUITE Fit Off,
e7c3d5ea-8b77-4fec-ba39-fac93fe229c4,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 1,01.17,ENSUITE Fit Off,
544c7881-56bb-46d1-aae6-dc16b1a37fad,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 1,01.24,ENSUITE Fit Off,
8ebad9ce-c5a5-4339-a2fa-b36743bfe15b,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 1,01.25,ENSUITE Fit Off,
93d53ff0-6da5-4e0f-af07-87373710cc77,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 1,01.26,ENSUITE Fit Off,
d71a2e13-4a62-4e02-8f9a-64d2acc8dacf,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 1,01.29,ENSUITE Fit Off,
80d804b6-602f-41b7-b118-eea05e9f6f75,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 1,01.30,ENSUITE Fit Off,
eb7ebd89-c678-47ef-8392-e923314eee7a,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 2,02.01,ENSUITE Fit Off,
7a10177c-08fa-49e8-ab7f-fe0f3ab76689,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 2,02.02,ENSUITE Fit Off,
f4624fa5-3475-433a-9f2c-8a84a762c2f3,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 2,02.14,ENSUITE Fit Off,
220be4e8-ce01-48d7-a09c-c33bbfa3dea1,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 2,02.15,ENSUITE Fit Off,
61d72d1f-374c-4168-a750-900ba52076a1,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 2,02.18,ENSUITE Fit Off,
d655d598-b96a-40f8-93ee-ad6f7a87d15e,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 2,02.27,ENSUITE Fit Off,
2fefb611-a3b0-479e-962b-336e3f311840,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 2,02.28,ENSUITE Fit Off,
f1efc4f4-1b25-4096-8fd5-d0b0ca586684,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 2,02.32,ENSUITE Fit Off,
788226c4-cc6d-4fe4-8f0b-e1f89f5581e7,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 2,02.33,ENSUITE Fit Off,
764b4ca1-2d6e-4694-af3a-d41116de900b,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 3,03.01,ENSUITE Fit Off,
b736aa4b-ebb4-46f0-85fd-0109d0661384,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 3,03.02,ENSUITE Fit Off,
ef2d8fac-130b-4ed1-adc0-2e983fa13aa7,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 3,03.14,ENSUITE Fit Off,
9461d0f4-563d-4061-b15b-e4ccd7fc8476,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 3,03.15,ENSUITE Fit Off,
4dcd4bf7-6048-4fa7-bffe-671154637c34,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 3,03.18,ENSUITE Fit Off,
5a7d5006-edd9-4582-9815-9a7ca75da4e1,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 3,03.27,ENSUITE Fit Off,
51241c51-039d-4f18-b89c-b89b052fb888,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 3,03.28,ENSUITE Fit Off,
7b4079b0-3287-4d1b-8693-0a0e498718df,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 3,03.32,ENSUITE Fit Off,
ef3d5c3a-3773-461c-aad0-e94273d054ab,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 3,03.33,ENSUITE Fit Off,
78c58941-af25-420f-8e5a-bc086471f3c5,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 4,04.01,ENSUITE Fit Off,
b3b8deab-b2c5-40ed-be65-0a05f7ed7f57,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 4,04.02,ENSUITE Fit Off,
8e0df2b1-9bfa-4a0f-89a7-b8ec1ada1f71,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 4,04.14,ENSUITE Fit Off,
18dad12c-0286-443d-a9dc-11994b5a8bbd,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 4,04.15,ENSUITE Fit Off,
8e2ed575-cee3-44de-b8b4-1eea64e09e03,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 4,04.18,ENSUITE Fit Off,
f4842700-cd60-44d1-bbfe-5c07c701acc1,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 4,04.27,ENSUITE Fit Off,
0e015fda-07ff-4d5a-b448-2380a7014cfa,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 4,04.28,ENSUITE Fit Off,
e52a00ea-4ca1-4992-8fba-8a5f8ceafc27,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 4,04.32,ENSUITE Fit Off,
06c21ed8-40b0-4370-b3b7-29281f3987be,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 4,04.33,ENSUITE Fit Off,
024f72b8-f6dc-4413-a176-1591fa3e4029,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 5,05.01,ENSUITE Fit Off,
23e28c79-196a-4ae7-9277-11daabaf99ab,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 5,05.02,ENSUITE Fit Off,
1c54ef18-1023-474d-a59d-1ff8496fca14,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 5,05.14,ENSUITE Fit Off,
8b8d83c1-eb58-449a-84c3-034aad96b8e6,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 5,05.15,ENSUITE Fit Off,
599a93a7-17d2-46b7-ab9c-3884a371b4dc,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 5,05.18,ENSUITE Fit Off,
729d15b8-c54c-4834-92e4-1896196db525,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 5,05.27,ENSUITE Fit Off,
36814a15-8bc6-4d2a-96cb-4c66fba296e7,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 5,05.28,ENSUITE Fit Off,
d9acd2bc-0abc-4089-b6df-5e6cc0307867,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 5,05.32,ENSUITE Fit Off,
f4bc31f3-d337-4597-845c-406d2b2887c8,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 5,05.33,ENSUITE Fit Off,
d8729a3d-0bd5-44ad-a399-8819a3954862,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 6,06.01,ENSUITE Fit Off,
a2f76d4f-79cc-48d4-9719-c27d53895c77,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 6,06.02,ENSUITE Fit Off,
9a93f7c4-f16a-4bb9-a167-5a35572a44b1,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 6,06.14,ENSUITE Fit Off,
e49adaf4-3ed6-4464-bc6a-cfd8f6c70d96,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 6,06.15,ENSUITE Fit Off,
971d8e4e-a7df-4c0d-9351-1ea5979831be,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 6,06.18,ENSUITE Fit Off,
46af07bc-3e08-48ee-a31d-46a00a175708,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 6,06.27,ENSUITE Fit Off,
25b37187-58b9-49f6-be66-4bfb4989ab5a,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 6,06.28,ENSUITE Fit Off,
a44ca0a5-482d-411f-b247-f1a455561a25,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 6,06.32,ENSUITE Fit Off,
be6a2a4e-93a4-4d7f-82ee-f7c9d37b4b85,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 6,06.33,ENSUITE Fit Off,
239183a2-e674-4f62-b900-4eaa2058450b,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 7,07.01,ENSUITE Fit Off,
0a5d9306-a359-4fac-a575-584ff795ad3c,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 7,07.02,ENSUITE Fit Off,
dcab0600-678f-47a9-897d-ba63f2cc79c3,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 7,07.14,ENSUITE Fit Off,
3576da7d-f315-46fb-bf53-95cadfcf969c,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 7,07.15,ENSUITE Fit Off,
a6067d23-56bc-42e5-9efd-3bea646f8530,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 7,07.18,ENSUITE Fit Off,
a7128e54-0cc3-4f2f-9b40-9a2de44cd42d,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 7,07.27,ENSUITE Fit Off,
