"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f03cfae2-a6d1-4224-a1e0-378bb1675194","","fail","","folder","TRUE","FALSE","Structural Floors"
"baae955d-5c33-44e2-8478-eb8582a6d07f","","fail","","folder","TRUE","FALSE","Structural Floors","Halsey Building East (Grids A to E + / 5+ 10)"
"9698721d-fd1a-4dd7-a470-f67f6a6a221b","","fail","","folder","TRUE","FALSE","Structural Floors","Halsey Building East (Grids A to E + / 5+ 10)","Basement B2"
"354842ca-c7fd-4532-a881-f54042b2904e","","work-in-progress","d8b493c604fc2d06abf1d86d422704ba3e1f284b0dccb7605cf1d4350653c72c","checklist","FALSE","FALSE","Structural Floors","Halsey Building East (Grids A to E + / 5+ 10)","Basement B2","QA - Concrete Pour Checklist Halsey West Sump "
"6a158eac-e22a-4b97-a427-e3c670944e25","","pass","d8b493c604fc2d06abf1d86d422704ba3e1f284b0dccb7605cf1d4350653c72c","checklist","FALSE","FALSE","Structural Floors","Halsey Building East (Grids A to E + / 5+ 10)","Basement B2","**06/12/22 - QA - Concrete Pour Checklist Sumps Base Halsey East "
"3e0296b4-f15d-4f1b-a3f8-ba6456332c4e","","fail","d8b493c604fc2d06abf1d86d422704ba3e1f284b0dccb7605cf1d4350653c72c","checklist","FALSE","FALSE","Structural Floors","Halsey Building East (Grids A to E + / 5+ 10)","Basement B2","QA - Concrete Pour Checklist Sprinkler Tank "
"875fa0be-2e5f-4264-9b6b-8eedc9af2cdb","","work-in-progress","1f73176f54b70f6ba472724c124d66d7a4f4d2dbab7087b8852f56c95b07ec70","checklist","FALSE","FALSE","Structural Floors","Halsey Building East (Grids A to E + / 5+ 10)","Basement B2","**04/08/2023 - QA - Concrete Pour Checklist : B2 sump "
"2c99af80-dc7f-4261-a779-f4d1978328a3","","pass","","folder","TRUE","FALSE","Structural Floors","Halsey Building East (Grids A to E + / 5+ 10)","Basement B1"
"943cec2b-653e-4383-9a37-930c8d492348","","pass","1f73176f54b70f6ba472724c124d66d7a4f4d2dbab7087b8852f56c95b07ec70","checklist","FALSE","FALSE","Structural Floors","Halsey Building East (Grids A to E + / 5+ 10)","Basement B1","**15/8/2023 QA - Concrete Pour Checklist : B1 elevated slab : C - C.5 / 6.75 - 7"
"14258cf4-4a98-4adb-8d38-90df35ee5437","","pass","","folder","TRUE","FALSE","Structural Floors","Halsey Building East (Grids A to E + / 5+ 10)","Level 4"
