resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA,,,,,,,,
,step,,,,In Ground Pressure Services,,,,,,,
,step,,,,,B2,,,,,,
,step,,,,,R3,,,,,,
,step,,,,In Ground Drainage Services,,,,,,,
,step,,,,,B2,,,,,,
,step,,,,In Ground Pits & Tanks,,,,,,,
,step,,,,,B2,,,,,,
,step,,,Penetrations & Fire Collars,,,,,,,,
,step,,,,B2,,,,,,,
,step,,,,,Retail,,,,,,
,step,,,,,Commercial,,,,,,
,step,,,,,Residential,,,,,,
,step,,,,B1,,,,,,,
,step,,,,,Retail,,,,,,
,step,,,,,Commercial,,,,,,
,step,,,,,Residential,,,,,,
,step,,,,R2,,,,,,,
,step,,,,,Retail,,,,,,
,step,,,,R3,,,,,,,
,step,,,,,Retail,,,,,,
,step,,,,R3 Mez,,,,,,,
,step,,,,,Retail,,,,,,
,step,,,,R4,,,,,,,
,step,,,,,Retail,,,,,,
,step,,,,R5,,,,,,,
,step,,,,,Retail,,,,,,
,step,,,,R6,,,,,,,
,step,,,,,Retail,,,,,,
,step,,,,C7,,,,,,,
,step,,,,,Commercial,,,,,,
,step,,,,C8,,,,,,,
,step,,,,,Commercial,,,,,,
,step,,,,C9,,,,,,,
,step,,,,,Commercial,,,,,,
,step,,,,C10,,,,,,,
,step,,,,,Commercial,,,,,,
,step,,,,C11,,,,,,,
,step,,,,,Commercial,,,,,,
,step,,,,C12,,,,,,,
,step,,,,,Commercial,,,,,,
,step,,,,L13,,,,,,,
,step,,,,,Commercial/Shared,,,,,,
