"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"baaf2e57-b08f-41c2-b653-d9f046f1aa2e","","work-in-progress","","folder","TRUE","FALSE","L3"
"d8c2e633-eacc-4bb8-9d0c-b5f643dc3f3e","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3C01"
"22db7fa7-501e-4f89-b9aa-4a361d517508","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C02"
"a1fde203-49cf-4830-8609-4a1641f427cd","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C03"
"e7b24de8-e187-4320-8d34-35d21e92fdbf","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C04"
"2afa6719-0eac-4f38-9709-344d126d255e","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C05"
"2e02636b-9a6c-4a57-ac63-f0cca6eddce6","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C06"
"c5706ec7-bca3-4138-8d9f-1e9c9f71bb0a","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C07"
"1e7de141-b331-4287-9210-9f02d58d3759","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C08"
"241357ae-1215-4e9f-a333-58cc035a3292","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C09"
"016d0c87-82e0-4550-a8ee-10a5e7e1d03f","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3C10"
"e623fba6-6324-4032-b864-b77836bbfd44","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C11"
"9fd1e256-b3a5-43c0-8ff2-1990549de676","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3C12"
"d054abed-01a5-41f7-8bf4-d78482abeb5d","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3C13"
"80c9fad6-7898-42c8-ba4b-35a1800563f5","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3C14"
"2a084b82-1c51-4aa5-abc1-74d4174dde71","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3C15"
"e8d716f5-d7a5-4283-819f-cddd86399a1b","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3C16"
"7a2e7fc1-91cd-4b40-a77e-e44a27b23158","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C17"
"004e3084-ec68-4c26-b7d9-1ebfb52fd8ce","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P01"
"b91aff4d-b507-4d4d-888a-c2ab0de6fbe3","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P02"
"90d132a8-1fe0-4913-8e87-56f087de4022","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P03"
"5d9e2423-4971-4fbc-98d2-ed529e9ffdad","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P04"
"7807cf7d-8edb-4b03-8f0b-4e86a0daa63e","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P05"
"b22cea59-5608-4e17-a5a4-d62531875f12","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P06"
"80978a2d-97dc-48d8-94b5-7f9feb8f5936","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P07"
"63c27495-cc21-4087-b627-24f00d8c86a4","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P08"
"7b8830ae-2972-4b9b-96d3-3824e6b33310","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P09"
"ebf212ba-d8ce-421c-a3bd-f9e54c9e1bcc","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P10"
"f0801ca7-81ba-48e8-a25a-fd05ea7dbdca","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P11"
"4296b24c-fd63-4117-a6a1-76ef9cb026ec","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P12"
"32eadfb6-6c7c-4083-89f5-25e864c72867","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P13"
"ada2eef6-7c65-4eed-ade1-d369e19a012a","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P14"
"7fbe9a24-a45b-487b-ad92-d9aeaf2907aa","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P15"
"2012e5d1-3f98-4dca-86b4-64582b780ccd","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P16"
"7bf0f26a-cf16-4b32-9e9f-2e957e127c97","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P17"
"2e824888-0534-46c4-a4b7-3956d760b040","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P18"
"5fcb3aac-1fe2-4bb5-b7b4-816987b48221","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P19"
"9a375227-268b-4ef7-965a-4c663bfe58b3","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P20"
"f8bd8964-ea9b-489e-a232-3b7914b6d289","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P21"
"dd79ddf2-6910-456c-9678-4d0ea2a3f048","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P22"
"73365a28-8bf9-4b79-98ad-28ce8875d5be","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P23"
"9b972447-2db0-407b-a0b3-dcbf6e80366b","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P24"
"8c11214f-6d78-458e-9fcf-76afc473cc8b","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P25"
"851fb10d-7ad2-4d83-adc5-571e30fd1c88","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P26"
"765032b9-b3a5-4a84-989e-d7da8fd29cc8","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P27"
"133e901d-af34-4999-9276-872315b472c1","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P28"
"63734ac9-4cff-4cf5-9b1b-257a7e9dd0f9","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P29"
"bd321168-76e1-4fa9-bc2e-6f67bd3588d5","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P30"
"4fb0ee6b-cd8d-46ee-8672-e71e1cb24e89","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P31"
"410cc823-5d06-43cf-b895-24213f18c7e0","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P32"
