Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Overall Progress,,,,,,
,Scope,,,,,
,Rows,,,,,
,,A - 1West - 0 GF,dynamic,A,1West,0 GF
,,A - 2East - 0 GF,dynamic,A,2East,0 GF
,,A - 3North - 0 GF,dynamic,A,3North,0 GF
,,A - 4South - 0 GF,dynamic,A,4South,0 GF
,,B - 1West - 0 GF,dynamic,B,1West,0 GF
,,B - 1West - 1 First,dynamic,B,1West,1 First
,,B - 1West - 2 2nd,dynamic,B,1West,2 2nd
,,B - 2East - 0 GF,dynamic,B,2East,0 GF
,,B - 2East - 1 First,dynamic,B,2East,1 First
,,B - 2East - 2 2nd,dynamic,B,2East,2 2nd
,,B - 3North - 0 GF,dynamic,B,3North,0 GF
,,B - 3North - 1 First,dynamic,B,3North,1 First
,,B - 3North - 2 2nd,dynamic,B,3North,2 2nd
,,B - 4South - 0 GF,dynamic,B,4South,0 GF
,,B - 4South - 1 First,dynamic,B,4South,1 First
,,B - 4South - 2 2nd,dynamic,B,4South,2 2nd
,,Caretaker - 0 GF,dynamic,Caretaker,0 GF,
,Columns,,,,,
,,Frame prep,,Frame prep,,
,,Glass installed correct way around,,Glass installed correct way around,,
,,Beads installed,,Beads installed,,
,,Wedge installed,,Wedge installed,,
,,Trade clean,,Trade clean,,
