"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3fb46015-27d2-4938-9e46-c5b88fdd4199","","pass","","folder","TRUE","FALSE","Site QA"
"e35c2abd-889d-4491-9347-7df33ab53dcb","","pass","","folder","TRUE","FALSE","Site QA","Type G3"
"3a2652bb-d565-4243-803f-c8745894f81c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G3","WE1.22-01"
"2891752e-5125-4cfd-a3d1-90a0b8280ce2","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G3","WE1.30-01"
"6efdaf68-987c-4da6-8708-109d0925df31","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G3","WE1.45-01"
"5b202764-6d79-4577-a578-8b65634bfc1e","","pass","","folder","TRUE","FALSE","Site QA","Type G4"
"4e8d46c1-7eb0-4143-bbda-806fcf53276f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G4","WEG.13-01"
"aca65e7e-40e6-4b8a-8496-ec0c7bc391df","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G4","WEG.14-01"
"4c51a1a8-e47a-4b61-9dc4-22151ace7466","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G4","WEG.22-01"
"8eff29dc-0ac4-4deb-b30f-e04d39ccee30","","pass","","folder","TRUE","FALSE","Site QA","Type G5"
"e8c1a722-942a-4ea1-991d-f643cd5e3288","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G5","WEG.18-01"
"31aef6de-1ca5-4c37-a25a-b6dec5d2b86e","","pass","","folder","TRUE","FALSE","Site QA","Type G6"
"6f8baeb4-37d9-4bd0-8ddd-a18f1ef6ee15","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G6","WE1.06-01"
"ca769501-99b3-422e-9da7-8d151d6a9dbf","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G6","WE1.60-01"
"33f535b9-05c9-49e1-b25c-3a8deb415db3","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G6","WEG.39-04"
"cb3b197e-698c-40b2-a2c5-4215d62e05ac","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G6","WEG.40-01"
"a9aeee1c-b930-4307-aa39-c2e820afdaa3","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G6","WEG.40-02"
"2182ba24-542b-4c2e-b064-acce1c2aaf81","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G6","WEG.40-03"
