"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d8bf7721-128d-4eac-a227-c8ae7dc587ca","","pass","","folder","TRUE","FALSE","Common"
"60f7dff1-acec-44c3-b393-6e2193b8b946","","pass","","folder","TRUE","FALSE","Common","Level 0"
"4562cd9c-aaae-4199-9e11-ccc4ca3a15b8","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Common","Level 0","CW0.15"
"260d203a-8c34-444d-8549-07523c0c2985","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Common","Level 0","CW0.14"
"45d56238-eb79-4026-b444-ae1600808d87","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Common","Level 0","CW0.13"
"9e26345f-0099-46ed-bddb-12e3261e5e2c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Common","Level 0","CW0.12"
"e20ed191-44e6-4768-b8db-956ae083d5d9","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Common","Level 0","CW0.11/D0.27"
"d90da34d-f978-4bbf-b281-2f07b7e25ac4","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Common","Level 0","CW0.10"
"3d2acc62-2ca5-4d66-905d-70860c1c6703","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Common","Level 0","CW0.9"
"1aa0c04c-f5c6-4415-a605-82c15c22407e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Common","Level 0","CW0.8"
"e66762d1-f267-42ac-9611-39c428ac9dd3","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Common","Level 0","CW0.22"
"288cd0c5-6f75-4445-ab1d-8e2f8356420f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Common","Level 0","CW0.21"
"08a82c40-53ce-4a18-82f1-4b2b056aad65","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Common","Level 0","CW0.20"
"374c8fa5-cdf3-4c45-b3b3-bee551cae209","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Common","Level 0","CW0.19/D0.25"
"62b4ad56-4759-40b1-8100-5ff706d208c5","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Common","Level 0","CW0.18"
"73866991-7e8c-4ab7-b355-80f97098220e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Common","Level 0","CW0.17"
"1435f03d-5f40-45e0-96ac-01ec865882a5","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Common","Level 0","CW0.16"
"077fbc61-87cb-4155-939d-109b9ee52b97","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Common","Level 0","CW0.1"
