"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"75440152-5ff9-4481-916f-f95d6fd68fbf","","pass","","folder","TRUE","FALSE","Ground"
"02d524d2-58f9-4585-98ab-4c3e9f48462f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","ED1.101.1"
"ece2ae74-bb33-465b-8643-06c694726b1b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","ED1.118.1"
"8ae28e4e-b55e-47cc-9db1-494cf9b7d990","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","ED1.118.2"
"af2c5964-1ca3-43e1-aa40-267e6bdd3d1d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","EW1.100"
"518a15d2-135d-421c-863d-54cbffff9633","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","EW1.101"
"30ba87e4-8a7b-47f0-b632-c4b28375fb32","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","EW1.102"
"d3c80ce3-7b02-4396-ae94-c572d3b6d1e1","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","EW1.103"
"5c366ac3-028b-463a-b51b-8c9c4fad0a6c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","EW1.104"
"ae889cfd-bfc1-45c2-a656-d486a66b221f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","EW1.105"
"d3c150c6-c24c-4582-aa90-b4a0a3e29452","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","EW1.106"
"ad3eb3da-07f0-4e7d-a242-a1a2285c82d4","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","EW1.107"
"fdda48d9-4685-44e7-9a52-1a1cc5b29120","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","EW1.108"
"3978e322-2e8f-4611-8ad5-00fd9d372b47","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","EW1.109"
"349f1c2f-32ab-4ea5-80f3-f0d1c86d3325","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","EW1.110"
"19a0597e-79c6-450c-ad2e-43889ba9ef52","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","EW1.111"
"790949fc-49d1-4b3f-a346-d62507f6a041","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","EW1.112"
"42ccdc70-1ad3-4d1b-b20c-ac0e586342f3","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","EW1.113"
"8d611fb3-8a71-4269-9a82-e35acd6cbe55","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","EW1.114"
"5a2c9f68-7ee5-4c70-8aab-b27fa658d56c","","pass","","folder","TRUE","FALSE","Level 1"
"66e8ffac-243c-4b7c-81cb-969044ea3574","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.201"
"f99e6e1a-5df5-42f5-9056-5fe653758a77","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.202"
"236df660-73f3-4525-b127-2f8a503bba52","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.203"
"95579aea-d3bc-4ff9-8fa6-6f41e3cdffb1","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.204"
"20842413-a1e1-4217-ba99-304e0b860ad9","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.205"
"e9aae836-faba-4810-b626-2f2fa5a20f77","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.206"
"cde6b378-0d61-48f6-89a8-ef54f9c2ed98","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.207"
"8062b581-3d71-4ab5-af6a-35907f842eab","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.208"
"5c036893-43d4-4afd-849e-6ad494469b22","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.209"
"d526ae8c-f7eb-4b5d-ae81-e400e6cb45cc","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.210"
"54e75a50-7966-4f40-af98-145aeb139d23","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.211"
"c5f94206-2bcf-415d-be14-08152df082b2","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.212"
"c9acdf77-9b29-41fb-94b4-72119f9d5522","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.213"
"58558eee-e899-4fe8-8e5c-016535532555","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.214"
"3da37f91-312b-472c-ad3a-9b2b35d5f5d0","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.215"
"cd580b30-747d-49f2-8c34-421aa8a212f6","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.216"
"729fb73a-9cd3-4c24-992a-e3303d3af574","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.217"
"33b696e3-5f74-4af6-8e37-75bf34be5842","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.218"
"25684ba3-fccc-4076-860d-29213ad0715f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.219"
"a896dc42-10ad-408b-9a6e-c5f29004425c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.220"
"1a72b0ea-96af-403e-b925-bcafe7e8bcb6","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.221"
"96533c00-8cd3-49b3-845f-36af36e369b5","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.222"
"62e7900f-21ad-495d-a76a-9631c9ad40a5","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.223"
"cbba0607-22a3-4005-bd66-c8c8d3c8e514","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.224"
"70e74831-4aaf-41f4-af90-df407e9fc5e2","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.225"
"7d4e2e95-1b82-44d1-b209-197ad47f5ff1","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.226"
"e0674dcc-411e-4dc1-8ce4-dd5126e105ba","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.227"
"085b84ff-f5c6-4fc8-a39b-d237da28c87b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.228"
"3e72d0d4-de3f-426d-bf69-393a68f68f70","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.229"
"fb286822-d0c1-4af5-b499-94cd64334c31","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.230"
"93081973-5f3f-42b2-9853-022a60896c6a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.231"
"19cd4320-c52a-44c7-9b9c-b0cf808bc2f7","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.232"
"41cac844-d506-449e-81c9-7d3a30146076","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.233"
"b4f6fc97-7fc9-401c-80ea-a2d70b85e961","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.301"
"8996f9af-3931-40bc-8d6f-bc9176f978db","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.302"
"588ce1f3-b306-4a23-beac-64d2d895bcae","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.303"
"0415cd78-174c-415a-b559-e582302e72e2","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.304"
"1451fde2-d075-4cfb-92e6-ce0271fce4cb","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.305"
"9ac1d89e-714c-4042-85ee-e6758faaca84","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.306"
"df9b3cb0-a238-4b75-ab0d-a730099e3c05","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.307"
"eed41d37-be66-485e-a27e-e0c0c2bbc7fb","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.308"
"cb151b78-28ea-4cb6-9792-11b69fec08fd","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.309"
"949a7255-597d-4b5a-828f-a6341e336a7c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.310"
"5deb3187-2b27-4dd6-b004-0ed5c8f11a15","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.311"
"01f8862e-c980-469e-a0f8-7cddd550a183","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.312"
"392907a3-1be5-452f-be8b-3f708f204fc2","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.313"
"f6e915c9-6409-4c5e-96b9-31308e1b92a7","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.314"
"e63f0949-8209-4674-bbd8-36cd650e21e8","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.315"
"ec450040-5d36-4c33-ba3f-f5b0d1da55a0","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","EW1.316"
