Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
B5 ZA - L1,,,,,,
,Scope,,,B5 ZA,L1,
,Rows,,,,,
,,East,dynamic,B5 ZA,L1,East
,Columns,,,,,
,,Frame prep,,Frame prep,,
,,Glass installed correct way around,,Glass installed correct way around,,
,,Beads installed,,Beads installed,,
,,Wedge installed,,Wedge installed,,
,,Trade clean,,Trade clean,,
,,,,,,
B5 ZA - L2,,,,,,
,Scope,,,B5 ZA,L2,
,Rows,,,,,
,,East,dynamic,B5 ZA,L2,East
,,South,dynamic,B5 ZA,L2,South
,,West,dynamic,B5 ZA,L2,West
,Columns,,,,,
,,Frame prep,,Frame prep,,
,,Glass installed correct way around,,Glass installed correct way around,,
,,Beads installed,,Beads installed,,
,,Wedge installed,,Wedge installed,,
,,Trade clean,,Trade clean,,
,,,,,,
B5 ZA - L3,,,,,,
,Scope,,,B5 ZA,L3,
,Rows,,,,,
,,East,dynamic,B5 ZA,L3,East
,,North,dynamic,B5 ZA,L3,North
,,South,dynamic,B5 ZA,L3,South
,,West,dynamic,B5 ZA,L3,West
,Columns,,,,,
,,Frame prep,,Frame prep,,
,,Glass installed correct way around,,Glass installed correct way around,,
,,Beads installed,,Beads installed,,
,,Wedge installed,,Wedge installed,,
,,Trade clean,,Trade clean,,
,,,,,,
B5 ZA - L4,,,,,,
,Scope,,,B5 ZA,L4,
,Rows,,,,,
,,East,dynamic,B5 ZA,L4,East
,,North,dynamic,B5 ZA,L4,North
,,South,dynamic,B5 ZA,L4,South
,,West,dynamic,B5 ZA,L4,West
,Columns,,,,,
,,Frame prep,,Frame prep,,
,,Glass installed correct way around,,Glass installed correct way around,,
,,Beads installed,,Beads installed,,
,,Wedge installed,,Wedge installed,,
,,Trade clean,,Trade clean,,
,,,,,,
B5 ZA - L5,,,,,,
,Scope,,,B5 ZA,L5,
,Rows,,,,,
,,East,dynamic,B5 ZA,L5,East
,,North,dynamic,B5 ZA,L5,North
,,West,dynamic,B5 ZA,L5,West
,Columns,,,,,
,,Frame prep,,Frame prep,,
,,Glass installed correct way around,,Glass installed correct way around,,
,,Beads installed,,Beads installed,,
,,Wedge installed,,Wedge installed,,
,,Trade clean,,Trade clean,,
,,,,,,
B6 ZB - L1,,,,,,
,Scope,,,B6 ZB,L1,
,Rows,,,,,
,,East,dynamic,B6 ZB,L1,East
,Columns,,,,,
,,Frame prep,,Frame prep,,
,,Glass installed correct way around,,Glass installed correct way around,,
,,Beads installed,,Beads installed,,
,,Wedge installed,,Wedge installed,,
,,Trade clean,,Trade clean,,
,,,,,,
B6 ZB - L2,,,,,,
,Scope,,,B6 ZB,L2,
,Rows,,,,,
,,East,dynamic,B6 ZB,L2,East
,,North,dynamic,B6 ZB,L2,North
,,West,dynamic,B6 ZB,L2,West
,Columns,,,,,
,,Frame prep,,Frame prep,,
,,Glass installed correct way around,,Glass installed correct way around,,
,,Beads installed,,Beads installed,,
,,Wedge installed,,Wedge installed,,
,,Trade clean,,Trade clean,,
,,,,,,
B6 ZB - L3,,,,,,
,Scope,,,B6 ZB,L3,
,Rows,,,,,
,,East,dynamic,B6 ZB,L3,East
,,North,dynamic,B6 ZB,L3,North
,,West,dynamic,B6 ZB,L3,West
,Columns,,,,,
,,Frame prep,,Frame prep,,
,,Glass installed correct way around,,Glass installed correct way around,,
,,Beads installed,,Beads installed,,
,,Wedge installed,,Wedge installed,,
,,Trade clean,,Trade clean,,
,,,,,,
B6 ZB - L4,,,,,,
,Scope,,,B6 ZB,L4,
,Rows,,,,,
,,East,dynamic,B6 ZB,L4,East
,,North,dynamic,B6 ZB,L4,North
,,West,dynamic,B6 ZB,L4,West
,Columns,,,,,
,,Frame prep,,Frame prep,,
,,Glass installed correct way around,,Glass installed correct way around,,
,,Beads installed,,Beads installed,,
,,Wedge installed,,Wedge installed,,
,,Trade clean,,Trade clean,,
,,,,,,
B6 ZB - L5,,,,,,
,Scope,,,B6 ZB,L5,
,Rows,,,,,
,,East,dynamic,B6 ZB,L5,East
,,North,dynamic,B6 ZB,L5,North
,,West,dynamic,B6 ZB,L5,West
,Columns,,,,,
,,Frame prep,,Frame prep,,
,,Glass installed correct way around,,Glass installed correct way around,,
,,Beads installed,,Beads installed,,
,,Wedge installed,,Wedge installed,,
,,Trade clean,,Trade clean,,
,,,,,,
B6 ZB - L6,,,,,,
,Scope,,,B6 ZB,L6,
,Rows,,,,,
,,East,dynamic,B6 ZB,L6,East
,,North,dynamic,B6 ZB,L6,North
,,West,dynamic,B6 ZB,L6,West
,Columns,,,,,
,,Frame prep,,Frame prep,,
,,Glass installed correct way around,,Glass installed correct way around,,
,,Beads installed,,Beads installed,,
,,Wedge installed,,Wedge installed,,
,,Trade clean,,Trade clean,,
