resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,L3 Pool Deck,,,,,,,,
QA - Ballustrades,checklist,,,,PB120B,,,,,,,
QA - Ballustrades,checklist,,,,MB100,,,,,,,
,step,,,L4 Main Deck,,,,,,,,
QA - Ballustrades,checklist,,,,PB120S,,,,,,,
QA - Ballustrades,checklist,,,,Post System,,,,,,,
,step,,,L4 Family Area,,,,,,,,
QA - Ballustrades,checklist,,,,PB120B,,,,,,,
,step,,,L4 Guest Deck,,,,,,,,
QA - Ballustrades,checklist,,,,PB120S,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
