resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,089-0363 -  Brunt-Embankment Fill-North- Lot-1 - Subgrade,,,,,,,,
,step,,,089-0364 -  Brunt-Embankment Fill-North- Lot-2 - Layer 1,,,,,,,,
,step,,,089-0365 -  Brunt-Embankment Fill-North- Lot-3 - Layer 2,,,,,,,,
,step,,,089-0366 -  Brunt-Embankment Fill-North- Lot-4 - Layer 3,,,,,,,,
,step,,,089-0367 -  Brunt-Embankment Fill-North- Lot-5 - Layer 4,,,,,,,,
,step,,,089-0368 -  Brunt-Embankment Fill-North- Lot-6 - Layer 5,,,,,,,,
,step,,,089-0369 -  Brunt-Embankment Fill-North- Lot-7 - Layer 6,,,,,,,,
,step,,,089-0370 -  Brunt-Embankment Fill-North- Lot-8 - Layer 7,,,,,,,,
,step,,,089-0371 -  Brunt-Embankment Fill-North- Lot-9 - Layer 8,,,,,,,,
,step,,,089-0372 -  Brunt-Embankment Fill-North- Lot-10 - Layer 9,,,,,,,,
,step,,,089-0373 -  Brunt-Embankment Fill-North- Lot-11 - Layer 10,,,,,,,,
,step,,,089-0374 -  Brunt-Embankment Fill-North- Lot-12 - Layer 11,,,,,,,,
,step,,,089-0375 -  Brunt-Embankment Fill-North- Lot-13 - Layer 12,,,,,,,,
,step,,,089-0376 -  Brunt-Embankment Fill-North- Lot-14 - Layer 13,,,,,,,,
,step,,,089-0377 -  Brunt-Embankment Fill-North- Lot-15 - Layer 14,,,,,,,,
,step,,,089-0378 -  Brunt-Embankment Fill-North- Lot-16 - Layer 15,,,,,,,,
,step,,,089-0379 -  Brunt-Embankment Fill-North- Lot-17 - Layer 16,,,,,,,,
,step,,,089-0380 -  Brunt-Embankment Fill-North- Lot-18 - Layer 17,,,,,,,,
,step,,,089-0381 -  Brunt-Embankment Fill-North- Lot-19 - Layer 18,,,,,,,,
,step,,,089-0382 -  Brunt-Embankment Fill-North- Lot-20 - Layer 19,,,,,,,,
,step,,,089-0383 -  Brunt-Embankment Fill-North- Lot-21 - Layer 20,,,,,,,,
,step,,,089-0384 -  Brunt-Embankment Fill-North- Lot-22 - Layer 21,,,,,,,,
,step,,,089-0385 -  Brunt-Embankment Fill-North- Lot-23 - Layer 22,,,,,,,,
,step,,,089-0386 -  Brunt-Embankment Fill-North- Lot-24 - Layer 23,,,,,,,,
,step,,,089-0387 -  Brunt-Embankment Fill-North- Lot-25 - Layer 24,,,,,,,,
,step,,,089-0388 -  Brunt-Embankment Fill-North- Lot-26 - Layer 25,,,,,,,,
,step,,,089-0389 -  Brunt-Embankment Fill-North- Lot-27 - Layer 26,,,,,,,,
,step,,,089-0390 -  Brunt-Embankment Fill-North- Lot-28 - Layer 27,,,,,,,,
,step,,,089-0391 -  Brunt-Embankment Fill-North- Lot-29 - Layer 28,,,,,,,,
,step,,,089-0392 -  Brunt-Embankment Fill-North- Lot-30 - Layer 29,,,,,,,,
,step,,,089-0393 -  Brunt-Embankment Fill-North- Lot-31 - Layer 30,,,,,,,,
,step,,,089-0394 -  Brunt-Embankment Fill-North- Lot-32 - Layer 31,,,,,,,,
,step,,,089-0395 -  Brunt-Embankment Fill-North- Lot-33 - Layer 32,,,,,,,,
,step,,,089-0396 -  Brunt-Embankment Fill-North- Lot-34 - Layer 33,,,,,,,,
,step,,,089-0397 -  Brunt-Embankment Fill-North- Lot-35 - Layer 34,,,,,,,,
,step,,,089-0398 -  Brunt-Embankment Fill-North- Lot-36 - Layer 35,,,,,,,,
,step,,,089-0399 -  Brunt-Embankment Fill-North- Lot-37 - Layer 36,,,,,,,,
,step,,,089-0400 -  Brunt-Embankment Fill-North- Lot-38 - Layer 37,,,,,,,,
,step,,,089-0401 -  Brunt-Embankment Fill-North- Lot-39 - Layer 38,,,,,,,,
,step,,,089-0402 -  Brunt-Embankment Fill-North- Lot-40 - Layer 39,,,,,,,,
,step,,,089-0403 -  Brunt-Embankment Fill-North- Lot-41 - Layer 40,,,,,,,,
