Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
3c25c051-c1dc-4cca-8f2e-a70311ce3ce5,,folder-normal,,,step,TRUE,FALSE,Civil,,,,
bcf3cae0-db2a-4433-8bb5-75935bb234f6,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CDR-0012-0_Road Drainage,,,
0fec39d4-af1a-4029-8784-0e016c2afbf3,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CDR-0012-0_Road Drainage,Road Drainage - Subsoil Installation,,
407342f4-7a23-4e82-8fbb-35247f015684,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CDR-0012-0_Road Drainage,Road Drainage - Main ITP,,
2d3b1ab1-3c69-4de6-83f0-8cf52b968be0,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CDR-0012-0_Road Drainage,Road Drainage - Pit Installation,,
8349a93e-7e85-4d4b-9f26-aea7f5f3e55c,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CDR-0012-0_Road Drainage,Road Drainage - Pipe Installation,,
c036d2cd-4d3b-4405-b7a0-488d24963210,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CDR-0012-0_Road Drainage,Road Drainage - Material Inspections,,
d3af9c97-9d9d-499f-8562-641044eff045,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CPT-0014-0_Road Pavements,,,
740175f7-e21f-453b-bb29-ab73e1f8f1e7,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CPT-0014-0_Road Pavements,Bus Stop - Pavement Construction (Enabling Works),,
ec815d51-ab7e-4773-bcd8-735bbcdf3a8d,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CPT-0014-0_Road Pavements,Bus Stop - Concrete Footpaths (Enabling Works),,
4eb9d18a-d0d3-4575-91dc-eb61dd6927dd,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CPT-0014-0_Road Pavements,Subgrade Preparation,,
758c7c59-682a-44f2-869e-68da98556ac9,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CPT-0014-0_Road Pavements,Capping Layer,,
f5bc723e-3d17-442b-a206-d2109f247e7c,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CPT-0014-0_Road Pavements,Subbase Layer,,
12fd8bb3-ab7a-4131-bceb-baac2d01b35c,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CPT-0014-0_Road Pavements,Basecourse Layer,,
d7f2e7fd-ad54-409b-8dad-06842ab72617,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CPT-0014-0_Road Pavements,Asphalt Basecourse,,
1f31d477-a50b-4e53-a716-79ad47504242,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CPT-0014-0_Road Pavements,Asphalt Intermediate Course,,
8224f0cd-b15f-4738-9dde-b050882d6f66,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CPT-0014-0_Road Pavements,Asphalt Wearing Course,,
2bf69fe0-5efc-4851-9991-f120bed6ff52,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CPT-0014-0_Road Pavements,Share User Path (SUP) Pavement,,
4a66cf7a-dfb6-4f86-b6a8-be044224a898,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CPT-0014-0_Road Pavements,Footpath Pavement,,
890c7823-4128-4850-b0f3-88488f6ab4cb,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CRG-0010-0_Road Alignment & Barriers,,,
9984caef-8a53-469f-adba-45d257785e37,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CRG-0010-0_Road Alignment & Barriers,Kerb Installation,,
df2a3c76-4b50-451b-a3d4-857a6433b484,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-AUD-0070-0_Landscaping,,,
e4290e1a-c455-414a-ba00-8d06d3b00f47,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CUT-0024-0_Street Lighting,,,
00f7877e-8b50-4f96-b77e-819e8c0667a3,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CSL-0011-0_Signage & Linemarking,,,
c91f6005-0945-423b-9874-a67668190d46,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CSL-0011-0_Signage & Linemarking,Bus Stop - Signage & Tactile (Enabling Works),,
6230e46d-53d4-4fe7-b4d7-b2c8c4a1c4e3,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CUT-0021-0_Combined Utilities Package,,,
09dd58a8-df91-4f23-9949-792f029a171e,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CUT-0022-0_Water & Sewer Relocation,,,
a2d56a96-4085-49e0-a3a6-8fb21dc8aca2,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CUT-0023-0_Electrical Asset Relocation,,,
efcaf628-503b-464a-ad3c-6691eaaca37c,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CUT-0025-0_Gas,,,
58380ae3-15bb-431f-adb9-6cf39128c972,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CUT-0026-0_Telecommunication (NBN),,,
46e8e647-62fc-473d-b721-8cb1b2ac45a1,,folder-normal,,,step,TRUE,FALSE,Civil,MRP-DPK-089-00-CUT-0027-0_Telecommunication (Telstra),,,
a17e05f8-f717-4b98-841d-f15e04d0578c,,folder-normal,,,step,TRUE,FALSE,Rail,,,,
