type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,
checklist-flat,CHK-009-CIV-CPD-RSS Walls-Fill Placement,itp,,,,Yes,CHK-009-CIV-CPD-RSS Walls-Fill Placement Rev 1,993c9fc6-174a-4a27-9b6e-1ab1d06b864d,,,,,,,,,,,,,,,
checkpoint-no-status,CHK-009-CIV-CPD-RSS Walls-Fill Placement,,,,,,,,,,,,,,,,,,,,,,
label,Document Title: CHK-009-CIV-CPD-RSS Walls-Fill Placement,,,,,,,,,,,,,,,,,,,,,,
label,ITP Description: RSS Walls-Fill Placement,,,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 1,,,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 14/12/2023,,,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Matthew Dib,,,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Pradeep Talasila,,,,,,,,,,,,,,,,,,,,,,
checkpoint,1 - Soil reinforcement-Straps,,,,,,,,,,,,,,,,,,,,,,
label,"Reference - VR682.08, VR682.17 IFC Drawings ",,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Reinforcing elements shall be placed on top of the compacted fill material and connected to the wall panels. ,,,,,,,,,,,,,,,,,,,,,,
label,"○ Any twists, kinks, sags or deviations in the reinforcing elements shall be removed prior to the placement of fill material on the reinforcing.",,,,,,,,,,,,,,,,,,,,,,
label,Method - Visual,,,,,,,,,,,,,,,,,,,,,,
label,Frequency - Each strap,,,,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - SE/PE,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2 - Soil reinforcement-Straps,,,,,,,,,,,,,,,,,,,,,,
label,Reference - Installation manual,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Correct number of reinforcing element shall be attached to each panel/wire facing units,,,,,,,,,,,,,,,,,,,,,,
label,Method - Visual,,,,,,,,,,,,,,,,,,,,,,
label,Frequency - Each panel/wire facing unit,,,,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - SE/PE,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
checkpoint,3 - Pre-cast Panel Soil reinforcements-Bolts Connections,,,,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings,,,,,,,,,,,,,,,,,,,,,,
label,Schedule of lenghts:,,,,,,,,,,,,,,,,,,,,,,
label,"○ MRP-080-C-RFL-DRG-33-CPV-CSW-1403, 1502, 1602, 1702, 1803.",,,,,,,,,,,,,,,,,,,,,,
label,Connections arrangement:,,,,,,,,,,,,,,,,,,,,,,
label,○ MRP-080-C-RFL-DRG-33-CPV-CSW-2101 ,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Grid Strips are to be installed at the back of each panel in correct length and to the correct anchors at the back of each panel,,,,,,,,,,,,,,,,,,,,,,
label,○ Finger tight nut or use a wrench so thread emerges from top of nut,,,,,,,,,,,,,,,,,,,,,,
label,Method - Visual,,,,,,,,,,,,,,,,,,,,,,
label,Frequency - Each Fill Layer,,,,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - SE/PE,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
checkpoint,4 - Wire Wall Soil reinforcements-Connections,,,,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings,,,,,,,,,,,,,,,,,,,,,,
label,Schedule of lengths:,,,,,,,,,,,,,,,,,,,,,,
label,"○ MRP-080-C-RFL-DRG-33-CPV-CSW-1301, 1302, 1303, 1801,2802",,,,,,,,,,,,,,,,,,,,,,
label,Connections arrangement:,,,,,,,,,,,,,,,,,,,,,,
label,○ MRP-080-C-RFL-DRG-33-CPV-CSW-1956,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Grid Strips are to be installed to the wire facing units in correct length and to the correct locations based on the number of grid-strips. ,,,,,,,,,,,,,,,,,,,,,,
label,– The first layer of grid-strips are to be ziptied or connected via hog rings to the facing units. ,,,,,,,,,,,,,,,,,,,,,,
label,Method - Visual,,,,,,,,,,,,,,,,,,,,,,
label,Frequency - Each Fill Layer,,,,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - SE/PE,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
checkpoint,5 - Soil reinforcements-Plan arrangement,,,,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings,,,,,,,,,,,,,,,,,,,,,,
label,Arrangements: ,,,,,,,,,,,,,,,,,,,,,,
label,○ MRP-080-C-RFL-DRG-33-CPV-CSW-1101 to 1105 VR682.06,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Plan positions of Grid Strips are to be as IFC Drawings.,,,,,,,,,,,,,,,,,,,,,,
label,– Grid Strips to be placed perpendicular to back of panel where possible.,,,,,,,,,,,,,,,,,,,,,,
label,– Grid strips shall not overlap,,,,,,,,,,,,,,,,,,,,,,
label,Method - Visual,,,,,,,,,,,,,,,,,,,,,,
label,Frequency - Where applicable,,,,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - SE/PE,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
checkpoint,6 - Soil reinforcements-vertical/horizontal deviation,,,,,,,,,,,,,,,,,,,,,,
label,"Reference - IFC Drawings MRP-080-C-RFL-DRG-33-CPV-CSW-1101, 1901 and 1904",,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Skew grid strips as required to achieve 100mm clearence from pile sleeves,,,,,,,,,,,,,,,,,,,,,,
label,"○ Where grid strips are in the same horizontal plane, ensure 75mm Min horizontal clearance between grid strips",,,,,,,,,,,,,,,,,,,,,,
label,"Method - Measure, Survey",,,,,,,,,,,,,,,,,,,,,,
label,Frequency - Each fill Layer,,,,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Surveyor/SE,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
checkpoint,7 - Soil reinforcements-clash with drainage,,,,,,,,,,,,,,,,,,,,,,
label,"Reference - IFC Drawings MRP-080-C-RFL-DRG-33-CPV-CSW-1109, 1901 and 1904",,,,,,,,,,,,,,,,,,,,,,
