resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Civils,,,,,,,,
,step,,,,MRP-DPK-102-00-CFN-0010,,,,,,,
,step,,,,,Kerb & Channel South of Rail Ferris Rd,,,,,,
,step,,,,,,103-493 - South of Rail - Ferris Rd - Kerb and Channel Installation SM2,,,,,
,step,,,,,,103-494 - South of Rail - Ferris Rd - Kerb and Channel Installation SM3,,,,,
,step,,,,,Kerb & Channel Enterprise Street,,,,,,
,step,,,,,,103-495 - Enterprise Street - Kerb and Channel Installation M2,,,,,
,step,,,,,,103-496 - Enterprise Street - Kerb and Channel Installation SM1,,,,,
,step,,,,,,103-497 - Enterprise Street - Kerb and Channel Installation SM2,,,,,
,step,,,,,,103-498 - Enterprise Street - Kerb and Channel Installation SM3,,,,,
,step,,,,,Kerb & Channel Eastern Service Rd,,,,,,
,step,,,,,,103-499 - Eastern Service Rd - Kerb and Channel Installation M2,,,,,
,step,,,,,,103-500 - Eastern Service Rd - Kerb and Channel Installation SM1,,,,,
,step,,,,,,103-501 - Eastern Service Rd - Kerb and Channel Installation SM2,,,,,
,step,,,,,,103-502 - Eastern Service Rd - Kerb and Channel Installation SM3,,,,,
,step,,,,,Kerb & Channel Wastern Service Rd,,,,,,
,step,,,,,,103-503 - Wastern Service Rd - Kerb and Channel Installation M2,,,,,
,step,,,,,,103-504 - Wastern Service Rd - Kerb and Channel Installation SM1,,,,,
,step,,,,,,103-505 - Wastern Service Rd - Kerb and Channel Installation SM2,,,,,
,step,,,,,,103-506 - Wastern Service Rd - Kerb and Channel Installation SM3,,,,,
,step,,,,MRP-DPK-102-00-CFN-0011,,,,,,,
,step,,,,,South RSS Fill,,,,,,
,step,,,,,,103-0127 - South RSS Fill - Foundation Layer 1 (South CH 0 - 176),,,,,
,step,,,,,,103-0128 - South RSS Fill - Foundation Layer 2 (South CH 0 - 176),,,,,
,step,,,,,,103-0129 - South RSS Fill - Layer 1 (South CH 0 - 70),,,,,
,step,,,,,,103-0130 - South RSS Fill - Layer 2 (South CH 0 - 66),,,,,
,step,,,,,,103-0131 - South RSS Fill - Layer 3 (South CH 0 - 62),,,,,
,step,,,,,,103-0132 - South RSS Fill - Layer 4 (South CH 0 - 60),,,,,
,step,,,,,,103-0133 - South RSS Fill - Layer 5 (South CH 0 - 58),,,,,
