type,name,values,prefix,postfix,usage count,user addable,template name,Resource ID,,,,,,,
checklist,ITP-235-CIV-PSDS-Lime and Cementitious Stabilisation,itp,,,,,ITP-235-CIV-PSDS-Lime and Cementitious Stabilisation Rev 0,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,
label,Document Title: ITP-235-STR-PSDS-Lime and Cementitious Stabilisation,,,,,,,,,,,,,,
label,ITP Description: PSDS-Lime and Cementitious Stabilisation,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 235-STR,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,
label,Revision Date: 6/12/2024,,,,,,,,,,,,,,
label,ITP created by: VM,,,,,,,,,,,,,,
label,ITP approved for use by: VM,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,
label,Reference: DoT Section 290 July 2019 2nd edition,,,,,,,,,,,,,,
label,1.2 Non Dependent,,,,,,,,,,,,,,
label,Reference: AS 1672.1-1997,,,,,,,,,,,,,,
label,1.3 Non Dependent,,,,,,,,,,,,,,
label,Reference: RC 301.04 June 2017,,,,,,,,,,,,,,
label,1.4 Non Dependent,,,,,,,,,,,,,,
label,Reference: RC 500.10,,,,,,,,,,,,,,
label,1.5 Non Dependent,,,,,,,,,,,,,,
label,Reference: RC 316.00,,,,,,,,,,,,,,
section,Preliminaries - Materials,,,,,,,,,,,,,,
checkpoint,2.1 Lime,,,,,,,,,,,,,,
label,REFERENCE: 290.05(a) AS 1672.1,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Quicklime and hydrated lime shall meet the requirements of AS 1672.1,,,,,,,,,,,,,,
label,○ Obtain Certificate of compliance and upload to TeamBinder.,,,,,,,,,,,,,,
textbox,Enter: TeamBinder Material Approval number,,,,,,,,,,,,,,
label,"METHOD: Assigned ALI test, Document Review",,,,,,,,,,,,,,
label,FREQUENCY: Each Week,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,2.2 Cement,,,,,,,,,,,,,,
label,"REFERENCE: 290.05 (b) (i), 290.10 (a)",,,,,,,,,,,,,,
