Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,,,,
914dc08d-af65-437e-9663-262f8ed8ccda,,folder-normal,work-in-progress,,step,TRUE,FALSE,Structure,,,,,,,
5764099b-3643-45c1-b562-e096a98486ff,,folder-normal,work-in-progress,,step,TRUE,FALSE,Structure,Concrete Pours,,,,,,
58da84be-f597-44f6-86d6-1a91b045baf5,,folder-normal,work-in-progress,,step,TRUE,FALSE,Structure,Concrete Pours,Zone A (Building B),,,,,
19af589f-98d6-4fed-a522-15c0eac30022,,folder-normal,work-in-progress,,step,TRUE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,,,,
5e6c9137-4009-48d5-8ac7-159be1ce4974,,folder-normal,work-in-progress,,step,TRUE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,,,
9eda035d-bbb9-416a-9df6-0b0b927a914b,,checklist-flat,not-started,SYS - Calcs & Drawings Upload,checklist-flat,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Pour Calcs & Drawings Upload,,
5dc08e81-bb86-403c-8eb9-9eea07bebc85,,folder-normal,work-in-progress,,step,TRUE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,,
cfe3bd78-0b42-4b2e-b475-1d04e04704d4,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-01,
314531ae-777a-415c-b022-3ec3b7fbcfff,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-02,
2d1d4557-211f-4fb5-8963-3fc96a2c432a,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-03,
0070de99-ff75-4e01-9512-8ab422c46449,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-04,
98089848-faa7-480e-b244-81738ea1a637,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-05,
ab44538a-5c1e-4d2e-b70d-3c98c6e6f532,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-06,
81758ad5-495d-4373-b59b-68713fb403b5,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-07,
a3f7d49e-cbf0-4532-92c7-719dd307ee9b,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-08,
095cfc4a-0437-48eb-afdc-6181f08b035b,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-09,
6f31743a-ff99-4fde-89ed-f38f6099d8f8,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-10,
f7e552dc-021d-4f53-85c9-8dd0ff6f18ae,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-11,
beb64827-bad7-4640-abee-34b39cb205a3,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-12,
7adf829d-a639-4b9d-b9a4-3d004c65171b,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-13,
ba2034af-c432-49e5-ae05-4657606f3d61,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-14,
cb0e74c7-4aa9-46f9-aaab-497340c1cf3e,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-15,
dbdb6b79-f3fe-492d-920b-59b73435396e,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-16,
d89a5d08-f0c1-49ed-9d03-9c7e3f9cb69f,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-17,
91bf912f-72a1-443b-ba6b-dbdbc8eaffde,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-18,
faf03a78-5c0b-4ca1-a917-757d862e84c4,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-19,
53d2901b-f915-4a40-a924-255504d009a2,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-20,
6ffde767-47cb-4f2a-a9ec-f4c0f705e869,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-27,
