resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,step,,,Zone C (Podium),,,,,,,,
,,,step,,,,LG,,,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,Zone 05,,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,Zone 06,,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,Zone 07,,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,Zone 08,,,,,,
,,,step,,,,LGM,,,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,Zone 05,,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,Zone 06,,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,Zone 07,,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,Zone 08,,,,,,
,,,step,,,,,Zone 84,,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,T01,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,T02,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,Bin Room,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,Loading Store,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,Comms Riser,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,Electrical Riser,,,,,
,,,step,,,,,Zone 85,,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,T03,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,Lift Lobby (Comms),,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,Lift Lobby (Carpark),,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,Cleaners Room,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,Mechanical Riser,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,Hydraulic Riser,,,,,
,,,step,,,Zone C (Building C),,,,,,,,
,,,step,,,,Ground Floor,,,,,,,
,,,step,,,,,Zone 05,,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,F02 - Community Space,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,F02 - Shared Kitchenette,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,F03 - F&B Café,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,FD02 - Willim Berrbang Community Space,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,Circulation Space,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,Store Grounds & Garden,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,C2 Lift Lobby,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,Zone 06,,,,,,
,,,step,,,,Level 1,,,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,Zone 05,,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,Zone 06,,,,,,
,,,step,,,Zone C (Building D),,,,,,,,
,,,step,,,,Ground Floor,,,,,,,
,,,step,,,,,Zone 84,,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,COMM LIFT LOBBY GF.D.014,,,,,
,,,step,,,,,Zone 85,,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,T05,,,,,
,,,step,,,,Level 1,,,,,,,
,,,step,,,,,Zone 84,,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,T06,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,Smoke Lobby 01.D.037,,,,,
Pre-Sheet Wall Sign-Off,Pre Grid Install Ceilings,Pre Sheet Install Ceilings,folder-with-checklists,,,,,,Smoke Lobby 01.D.059,,,,,
