"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a05188a2-88a4-409e-8ee6-1db59c58a6ae","","not-started","","folder","TRUE","FALSE","STAGE #1"
"0f8f4d5b-5a58-4752-a2f5-4bb8de717c30","","not-started","","folder","TRUE","FALSE","STAGE #1","#1 DE1.20B - Media"
"a7d5796c-3d46-486a-a057-b73c97013ee9","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#1 DE1.20B - Media","Pre Install Checklist"
"3c2eb251-ab76-417b-a7c3-c2c3a58a28df","","not-started","Shopfront - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#1 DE1.20B - Media","Installation"
"1455c0d2-a456-4a16-ac8d-f1e1164d1f9f","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#1 DE1.20B - Media","Glazing"
"4db0e71e-ce0f-443a-816f-aa56968f8cc7","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#1 DE1.20B - Media","Performance Tests"
"2662d87f-ee32-4f01-9b63-e164961f9bc0","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#1 DE1.20B - Media","Handover Checklist"
"db4f308c-f0c9-449c-8a3e-ffafc8e67b7f","","not-started","","folder","TRUE","FALSE","STAGE #1","#2 DE1.18A - Media Breakout"
"da0942c1-a7b6-4c6d-ae47-16774aa9d31c","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#2 DE1.18A - Media Breakout","Pre Install Checklist"
"e1ebe0f6-e8bd-4bc5-8d3a-2262736d6512","","not-started","Shopfront - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#2 DE1.18A - Media Breakout","Installation"
"f7acf788-4fba-48c0-bcd7-c94292fbe6d3","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#2 DE1.18A - Media Breakout","Glazing"
"b63245c5-44de-4f25-8012-42b1634edac4","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#2 DE1.18A - Media Breakout","Performance Tests"
"f7982d08-57ed-4057-bbdc-7ece87708b72","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#2 DE1.18A - Media Breakout","Handover Checklist"
"47862b25-9a74-45c5-b016-59f86ac27243","","not-started","","folder","TRUE","FALSE","STAGE #1","#4 DE1-20C - Media"
