"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9b36efc5-2e3c-47f8-b15f-76d8c1aac510","","not-started","","folder","TRUE","FALSE","STAGE #1"
"4e1483ed-24ba-48b8-8565-85e4a3498020","","not-started","","folder","TRUE","FALSE","STAGE #1","#3 W113 High Level"
"e4631328-413b-4ae8-a036-fb84b99710c9","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#3 W113 High Level","Pre Install Checklist"
"b926498b-e3fd-4992-8328-41ea7a2e0e2e","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#3 W113 High Level","Installation"
"607d79e0-d7ba-4cf4-93db-566b3301f1c8","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#3 W113 High Level","Glazing"
"a1fa4cac-9323-453c-a61d-143bf360b213","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#3 W113 High Level","Performance Tests"
"559d52f0-e5a8-499f-a672-0dd8fa7c3f88","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#3 W113 High Level","Handover Checklist"
"56048f00-782f-4027-b8fd-0ecd07643080","","not-started","","folder","TRUE","FALSE","STAGE #1","#4 W112 High Level"
"ebebbb8f-af6b-4a77-9138-8794cc6f35ac","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#4 W112 High Level","Pre Install Checklist"
"ed3ba9a8-e673-4be4-8bc1-318df890c4e5","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#4 W112 High Level","Installation"
"9547d9e3-3e66-435b-885f-0cede14ba44a","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#4 W112 High Level","Glazing"
"dedca36e-34d0-4266-b09d-509da500f4b9","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#4 W112 High Level","Performance Tests"
"a8c5811e-721b-4d3c-b41e-2578437968b6","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#4 W112 High Level","Handover Checklist"
"1bc4d2f1-ac25-4f50-84bf-eceef00c8b04","","not-started","","folder","TRUE","FALSE","STAGE #1","#5 W111 High Level"
"75d674ba-d3de-49e0-bc48-972918e58beb","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#5 W111 High Level","Pre Install Checklist"
"9a989e4e-4573-4f6f-b184-9d01e20cf59c","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#5 W111 High Level","Installation"
"a0232784-911e-4a61-b4a5-3dd3a0497e71","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#5 W111 High Level","Glazing"
"e2989a75-2524-459d-beed-49e0c036e9e9","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#5 W111 High Level","Performance Tests"
"74daa00e-a304-418e-8c8f-9ea96d561afb","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#5 W111 High Level","Handover Checklist"
"359fa1df-5422-4c14-b628-597166cd5019","","not-started","","folder","TRUE","FALSE","STAGE #1","#6 W110 High Level"
"bfab62be-4917-498b-9c44-865133513246","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#6 W110 High Level","Pre Install Checklist"
"55dc01e4-6a73-4a7f-b9bd-2a33dc56b6b0","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#6 W110 High Level","Installation"
