type,name,values,prefix,postfix,usage count,user addable,template name
checklist,Panel QA ,,,,,,Panel QA
section,Pre-Manufacturing QA check,,,,,,
checkpoint,Information Complete,,,,,,
note,Unit Mark,,,,,,
section,Reo Cage Check (PMC1),,,,,,
checkpoint,Correct size and type,,,,,,
checkpoint,Laps and splices correct,,,,,,
checkpoint,Cover checked,,,,,,
checkpoint,Spacing checked,,,,,,
checkpoint,Starter bars checked and correct,,,,,,
checkpoint,"Reinforcing placed correctly, checked and approved",,,,,,
note,Attach Photos,,,,,,
note,Heat numbers Photo,,,,,,
section,Prepour Check -PC1,,,,,,
checkpoint,Table/Mould cleaned before setup,,,,,,
checkpoint,Length/Width/Thickness/Cutouts,,,,,,
checkpoint,Square,,,,,,
checkpoint,Edge Details & Rebates,,,,,,
checkpoint,"Cast in items (Inserts, Weldplates)",,,,,,
checkpoint,Mould Cleaned & Oiled,,,,,,
checkpoint,Rugasol,,,,,,
checkpoint,Main Reinforcing,,,,,,
checkpoint,Starters,,,,,,
checkpoint,Lifters,,,,,,
checkpoint,Drawings & General Photos,,,,,,
section,Concrete,,,,,,
checkpoint,Concrete Docket Attached (photo),,,,,,
textbox,Concrete Mix code,,,,,,
section,Manufacturing Check - Postpour Check -PC2,,,,,,
checkpoint,Information Complete,,,,,,
checkpoint,Details,,,,,,
textbox,Post pour Completion date,,,,,,
checkpoint,Does Unit Need any remedial work,,,,,,
checkpoint,MF/NF/sides photos,,,,,,
textbox,General comment,,,,,,
section,Monarc/ Archtectural finish Check (PC3),,,,,,
checkpoint,Unit required Monarc/Archtectutal finish,,,,,,
note,Yes- Below question. No- next section,,,,,,
checkpoint,Monarc/Arch Drawing photos,,,,,,
textbox,Unit Checked/Proceessed by,,,,,,
checkpoint,MF Finishing photos,,,,,,
checkpoint,NF Finishing photos,,,,,,
checkpoint,Sides Finishing photos,,,,,,
checkpoint,Does Unit Washed after Monarc Processing,,,,,,
checkpoint,Does Unit Need any remedial work,,,,,,
textbox,General comment,,,,,,
