type,name,values,prefix,postfix,usage count,user addable,template name
checklist,Precast Checklist,,,,,,Precast Checklist
section,Installation,,,,,,
checkpoint,PCC001,,,,,,
checkpoint,PCC001B,,,,,,
checkpoint,PC002,,,,,,
checkpoint,PC002B,,,,,,
checkpoint,PCC003,,,,,,
checkpoint,PCC003B,,,,,,
checkpoint,PCC005,,,,,,
checkpoint,PCC005B,,,,,,
checkpoint,PCC022,,,,,,
checkpoint,PCC022B,,,,,,
checkpoint,PCC023,,,,,,
checkpoint,PCC023B,,,,,,
checkpoint,PCC025,,,,,,
checkpoint,PCC025B,,,,,,
checkpoint,PCC026,,,,,,
checkpoint,PCC026B,,,,,,
checkpoint,PCC027,,,,,,
checkpoint,PCC027B,,,,,,
checkpoint,PCC028,,,,,,
checkpoint,PCC028B,,,,,,
checkpoint,PCC029,,,,,,
checkpoint,PCC029B,,,,,,
checkpoint,PCC030,,,,,,
checkpoint,PCC030B,,,,,,
checkpoint,PCC031,,,,,,
checkpoint,PCC031B,,,,,,
checkpoint,PCC032,,,,,,
checkpoint,PCC032B,,,,,,
checkpoint,Extra1,,,,,,
checkpoint,Extra 2,,,,,,
checkpoint,Site Representative Sign Off,,,,,,
