resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Precast Elements,,,,,,,,
Precast Checklist,checklist,,,,L22-TC225,,,,,,,
Precast Checklist,checklist,,,,L22-TC227,,,,,,,
Precast Checklist,checklist,,,,L22-TC231,,,,,,,
Precast Checklist,checklist,,,,L22-TC236,,,,,,,
Precast Checklist,checklist,,,,L22-TC237,,,,,,,
Precast Checklist,checklist,,,,L22-TC240,,,,,,,
Precast Checklist,checklist,,,,L22-TC241,,,,,,,
Precast Checklist,checklist,,,,L22-TC253,,,,,,,
Precast Checklist,checklist,,,,L22-TC254,,,,,,,
Precast Checklist,checklist,,,,L22-TC320,,,,,,,
Precast Checklist,checklist,,,,L22-TC324,,,,,,,
Precast Checklist,checklist,,,,L22-TC325,,,,,,,
Precast Checklist,checklist,,,,L22-TC326,,,,,,,
Precast Checklist,checklist,,,,L22-TC330,,,,,,,
Precast Checklist,checklist,,,,L22-TC331,,,,,,,
Precast Checklist,checklist,,,,L22-TC332,,,,,,,
Precast Checklist,checklist,,,,L22-TC335,,,,,,,
Precast Checklist,checklist,,,,L22-TC336,,,,,,,
Precast Checklist,checklist,,,,L22-TC339,,,,,,,
Precast Checklist,checklist,,,,L22-TC348,,,,,,,
Precast Checklist,checklist,,,,L22-TC349,,,,,,,
Precast Checklist,checklist,,,,L22-TC350,,,,,,,
Precast Checklist,checklist,,,,L22-TC351,,,,,,,
Precast Checklist,checklist,,,,L22-TC352,,,,,,,
Precast Checklist,checklist,,,,L22-TW205,,,,,,,
Precast Checklist,checklist,,,,L23M-TW252,,,,,,,
Precast Checklist,checklist,,,,L23M-TW254,,,,,,,
Precast Checklist,checklist,,,,L23M-TW353,,,,,,,
Precast Checklist,checklist,,,,L23-TC355,,,,,,,
Precast Checklist,checklist,,,,L33-TC115,,,,,,,
Precast Checklist,checklist,,,,L33-TC116,,,,,,,
Precast Checklist,checklist,,,,L34-TC101,,,,,,,
Precast Checklist,checklist,,,,L34-TC102,,,,,,,
Precast Checklist,checklist,,,,L34-TC105,,,,,,,
Precast Checklist,checklist,,,,L34-TC115,,,,,,,
Precast Checklist,checklist,,,,L34-TC116,,,,,,,
Precast Checklist,checklist,,,,L35-TC101,,,,,,,
Precast Checklist,checklist,,,,L35-TC102,,,,,,,
Precast Checklist,checklist,,,,L35-TC105,,,,,,,
Precast Checklist,checklist,,,,L35-TC115,,,,,,,
Precast Checklist,checklist,,,,L35-TC116,,,,,,,
Precast Checklist,checklist,,,,L35-TC125,,,,,,,
Precast Checklist,checklist,,,,L36-TC101,,,,,,,
Precast Checklist,checklist,,,,L36-TC102,,,,,,,
Precast Checklist,checklist,,,,L36-TC105,,,,,,,
Precast Checklist,checklist,,,,L36-TC115,,,,,,,
Precast Checklist,checklist,,,,L36-TC116,,,,,,,
Precast Checklist,checklist,,,,L36-TC124,,,,,,,
Precast Checklist,checklist,,,,L37-TC101,,,,,,,
Precast Checklist,checklist,,,,L37-TC102,,,,,,,
