Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
088afb07-531a-499e-933c-368f39099fc6,,checklist-sectioned,not-started,Precast Checklist,checklist,FALSE,FALSE,Precast Elements,L20-TW321,,,
662f901d-f05d-4cbb-bb92-e870203dff91,,checklist-sectioned,not-started,Precast Checklist,checklist,FALSE,FALSE,Precast Elements,L22-TC225,,,
374b2673-d9a6-4162-bf78-99429f6fd9bf,,checklist-sectioned,not-started,Precast Checklist,checklist,FALSE,FALSE,Precast Elements,L22-TC227,,,
332a9182-a488-4d2d-ac91-5e4e77043d82,,checklist-sectioned,not-started,Precast Checklist,checklist,FALSE,FALSE,Precast Elements,L22-TC231,,,
7867f5bb-1b7a-4b3d-aac7-7092ec127a61,,checklist-sectioned,not-started,Precast Checklist,checklist,FALSE,FALSE,Precast Elements,L22-TC236,,,
50d8db83-620c-4067-9493-41f1243eb16a,,checklist-sectioned,not-started,Precast Checklist,checklist,FALSE,FALSE,Precast Elements,L22-TC237,,,
5ac75583-25e8-42e0-bfee-5cae911f1560,,checklist-sectioned,not-started,Precast Checklist,checklist,FALSE,FALSE,Precast Elements,L22-TC240,,,
79cff559-2ec5-4a52-8c7c-d55a97f821a0,,checklist-sectioned,not-started,Precast Checklist,checklist,FALSE,FALSE,Precast Elements,L22-TC241,,,
882d4ce3-8d02-4ae2-b977-bb859e74aaf8,,checklist-sectioned,not-started,Precast Checklist,checklist,FALSE,FALSE,Precast Elements,L22-TC253,,,
ed0cab5b-f572-4a40-b827-358fc033552b,,checklist-sectioned,not-started,Precast Checklist,checklist,FALSE,FALSE,Precast Elements,L22-TC254,,,
18acafa9-834e-4969-bd43-89af90bdef31,,checklist-sectioned,not-started,Precast Checklist,checklist,FALSE,FALSE,Precast Elements,L22-TC320,,,
6c860d2c-d011-4752-af6c-0261d66325f4,,checklist-sectioned,not-started,Precast Checklist,checklist,FALSE,FALSE,Precast Elements,L22-TC324,,,
c1738fef-744f-48e1-801d-532cb989524f,,checklist-sectioned,not-started,Precast Checklist,checklist,FALSE,FALSE,Precast Elements,L22-TC325,,,
cdeab74e-31c6-4640-80f4-7e785177d3be,,checklist-sectioned,not-started,Precast Checklist,checklist,FALSE,FALSE,Precast Elements,L22-TC326,,,
7e2ae68b-e4c8-4f33-9b9a-dd2f8e11efc4,,checklist-sectioned,not-started,Precast Checklist,checklist,FALSE,FALSE,Precast Elements,L22-TC330,,,
a15baa55-2bd6-44ce-820d-499d8b21e099,,checklist-sectioned,not-started,Precast Checklist,checklist,FALSE,FALSE,Precast Elements,L22-TC331,,,
