resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Stage 1,,,,,,,,
,step,,,,Basement,,,,,,,
Common Area Sign Off,checklist,,,,,Lift 1 ,,,,,,
Common Area Sign Off,checklist,,,,,Lift 2,,,,,,
Common Area Sign Off,checklist,,,,,Lift Lobby,,,,,,
Common Area Sign Off,checklist,,,,,Car Park Lift Lobby,,,,,,
Common Area Sign Off,checklist,,,,,Car Park Staircase,,,,,,
,step,,,,GF Data,,,,,,,
Common Area Sign Off,checklist,,,,,D-G-1,,,,,,
Common Area Sign Off,checklist,,,,,D-G-2,,,,,,
Common Area Sign Off,checklist,,,,,D-G-3,,,,,,
Common Area Sign Off,checklist,,,,,D-G-4,,,,,,
Common Area Sign Off,checklist,,,,,D-G-5,,,,,,
Common Area Sign Off,checklist,,,,,D-G-6,,,,,,
Common Area Sign Off,checklist,,,,,D-G-7,,,,,,
Common Area Sign Off,checklist,,,,,D-G-8,,,,,,
Common Area Sign Off,checklist,,,,,D-G-9,,,,,,
Common Area Sign Off,checklist,,,,,D-G-10,,,,,,
Common Area Sign Off,checklist,,,,,D-G-11,,,,,,
Common Area Sign Off,checklist,,,,,D-G-12,,,,,,
Common Area Sign Off,checklist,,,,,D-G-13,,,,,,
Common Area Sign Off,checklist,,,,,D-G-14,,,,,,
Common Area Sign Off,checklist,,,,,D-G-15,,,,,,
Common Area Sign Off,checklist,,,,,D-G-16,,,,,,
Common Area Sign Off,checklist,,,,,D-G-17,,,,,,
Common Area Sign Off,checklist,,,,,D-G-18,,,,,,
Common Area Sign Off,checklist,,,,,D-G-19,,,,,,
Common Area Sign Off,checklist,,,,,D-G-20,,,,,,
Common Area Sign Off,checklist,,,,,D-G-21,,,,,,
Common Area Sign Off,checklist,,,,,D-G-22,,,,,,
Common Area Sign Off,checklist,,,,,D-G-23,,,,,,
Common Area Sign Off,checklist,,,,,D-G-24,,,,,,
Common Area Sign Off,checklist,,,,,D-G-25,,,,,,
Common Area Sign Off,checklist,,,,,D-G-26,,,,,,
Common Area Sign Off,checklist,,,,,D-G-27,,,,,,
Common Area Sign Off,checklist,,,,,D-G-28,,,,,,
Common Area Sign Off,checklist,,,,,D-G-29,,,,,,
Common Area Sign Off,checklist,,,,,D-G-30,,,,,,
Common Area Sign Off,checklist,,,,,D-G-31,,,,,,
Common Area Sign Off,checklist,,,,,D-G-32,,,,,,
Common Area Sign Off,checklist,,,,,D-G-33,,,,,,
Common Area Sign Off,checklist,,,,,D-G-34,,,,,,
Common Area Sign Off,checklist,,,,,D-G-35,,,,,,
Common Area Sign Off,checklist,,,,,D-G-36,,,,,,
Common Area Sign Off,checklist,,,,,D-G-37,,,,,,
Common Area Sign Off,checklist,,,,,D-G-38,,,,,,
Common Area Sign Off,checklist,,,,,D-G-39,,,,,,
Common Area Sign Off,checklist,,,,,D-G-40,,,,,,
Common Area Sign Off,checklist,,,,,D-G-41,,,,,,
Common Area Sign Off,checklist,,,,,D-G-42,,,,,,
Common Area Sign Off,checklist,,,,,D-G-43,,,,,,
Common Area Sign Off,checklist,,,,,D-G-44,,,,,,
Common Area Sign Off,checklist,,,,,D-G-45,,,,,,
Common Area Sign Off,checklist,,,,,D-G-46,,,,,,
Common Area Sign Off,checklist,,,,,D-G-47,,,,,,
Common Area Sign Off,checklist,,,,,D-G-48,,,,,,
Common Area Sign Off,checklist,,,,,D-G-49,,,,,,
Common Area Sign Off,checklist,,,,,D-G-50,,,,,,
Common Area Sign Off,checklist,,,,,D-G-51,,,,,,
Common Area Sign Off,checklist,,,,,D-G-52,,,,,,
Common Area Sign Off,checklist,,,,,D-G-53,,,,,,
Common Area Sign Off,checklist,,,,,D-G-54,,,,,,
Common Area Sign Off,checklist,,,,,D-G-55,,,,,,
