Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Apartments Building - Overall Progress,,,,,,,
,Scope,,,Apartments Building,,,
,Rows,,,,,,
,,LEVEL - GROUND (Common Areas),grouping,LEVEL - GROUND (Common Areas),,,
,,Nurse Call,dynamic,Nurse Call,Common Areas,Level - Ground,Apartments Building
,,CCTV,dynamic,CCTV,Common Areas,Level - Ground,Apartments Building
,,Access Control,dynamic,Access Control,Common Areas,Level - Ground,Apartments Building
,,LEVEL - ONE (Apartments),grouping,LEVEL - ONE (Apartments),,,
,,Nurse Call,dynamic,Nurse Call,Apartments,Level - One,Apartments Building
,,MATV,dynamic,MATV,Apartments,Level - One,Apartments Building
,,Data,dynamic,Data,Apartments,Level - One,Apartments Building
,,LEVEL - ONE (Common Areas),grouping,LEVEL - ONE (Common Areas),,,
,,Nurse Call,dynamic,Nurse Call,Common Areas,Level - One,Apartments Building
,,CCTV,dynamic,CCTV,Common Areas,Level - One,Apartments Building
,,Access Control,dynamic,Access Control,Common Areas,Level - One,Apartments Building
,,LEVEL - TWO (Apartments),grouping,LEVEL - TWO (Apartments),,,
,,Nurse Call,dynamic,Nurse Call,Apartments,Level - Two,Apartments Building
,,MATV,dynamic,MATV,Apartments,Level - Two,Apartments Building
,,Data,dynamic,Data,Apartments,Level - Two,Apartments Building
,,LEVEL - TWO (Common Areas),grouping,LEVEL - TWO (Common Areas),,,
,,Nurse Call,dynamic,Nurse Call,Common Areas,Level - Two,Apartments Building
,,LEVEL - THREE (Apartments),grouping,LEVEL - THREE (Apartments),,,
,,Nurse Call,dynamic,Nurse Call,Apartments,Level - Three,Apartments Building
,,MATV,dynamic,MATV,Apartments,Level - Three,Apartments Building
,,Data,dynamic,Data,Apartments,Level - Three,Apartments Building
,,LEVEL - THREE (Common Areas),grouping,LEVEL - THREE (Common Areas),,,
,,Nurse Call,dynamic,Nurse Call,Common Areas,Level - Three,Apartments Building
,,Data,dynamic,Data,Common Areas,Level - Three,Apartments Building
,,LEVEL - FOUR (Apartments),grouping,LEVEL - FOUR (Apartments),,,
,,Nurse Call,dynamic,Nurse Call,Apartments,Level - Four,Apartments Building
,,MATV,dynamic,MATV,Apartments,Level - Four,Apartments Building
,,Data,dynamic,Data,Apartments,Level - Four,Apartments Building
,,LEVEL - FOUR (Common Areas),grouping,LEVEL - FOUR (Common Areas),,,
,,Nurse Call,dynamic,Nurse Call,Common Areas,Level - Four,Apartments Building
,,Data,dynamic,Data,Common Areas,Level - Four,Apartments Building
,,LEVEL - FIVE (Apartments),grouping,LEVEL - FIVE (Apartments),,,
,,Nurse Call,dynamic,Nurse Call,Apartments,Level - Five,Apartments Building
,,MATV,dynamic,MATV,Apartments,Level - Five,Apartments Building
,,Data,dynamic,Data,Apartments,Level - Five,Apartments Building
,,LEVEL - FIVE (Common Areas),grouping,LEVEL - FIVE (Common Areas),,,
,,Nurse Call,dynamic,Nurse Call,Common Areas,Level - Five,Apartments Building
,,Data,dynamic,Data,Common Areas,Level - Five,Apartments Building
,,LEVEL - SIX (Apartments),grouping,LEVEL - SIX (Apartments),,,
,,Nurse Call,dynamic,Nurse Call,Apartments,Level - Six,Apartments Building
,,MATV,dynamic,MATV,Apartments,Level - Six,Apartments Building
,,Data,dynamic,Data,Apartments,Level - Six,Apartments Building
,,LEVEL - SIX (Common Areas),grouping,LEVEL - SIX (Common Areas),,,
,,Nurse Call,dynamic,Nurse Call,Common Areas,Level - Six,Apartments Building
,,Data,dynamic,Data,Common Areas,Level - Six,Apartments Building
,,LEVEL - SEVEN (Apartments),grouping,LEVEL - SEVEN (Apartments),,,
,,Nurse Call,dynamic,Nurse Call,Apartments,Level - Seven,Apartments Building
,,MATV,dynamic,MATV,Apartments,Level - Seven,Apartments Building
,,Data,dynamic,Data,Apartments,Level - Seven,Apartments Building
,,LEVEL - SEVEN (Common Areas),grouping,LEVEL - SEVEN (Common Areas),,,
,,Nurse Call,dynamic,Nurse Call,Common Areas,Level - Seven,Apartments Building
,,LEVEL - EIGHT (Apartments),grouping,LEVEL - EIGHT (Apartments),,,
,,Nurse Call,dynamic,Nurse Call,Apartments,Level - Eight,Apartments Building
,,MATV,dynamic,MATV,Apartments,Level - Eight,Apartments Building
,,Data,dynamic,Data,Apartments,Level - Eight,Apartments Building
,,LEVEL - EIGHT (Common Areas),grouping,LEVEL - EIGHT (Common Areas),,,
,,Nurse Call,dynamic,Nurse Call,Common Areas,Level - Eight,Apartments Building
,Columns,,,,,,
,,Fit-off ,,Fit-off ,,,
,,Testing,,Testing,,,
,,,,,,,
,,,,,,,
Resthome Building - Overall Progress,,,,,,,
,Scope,,,Resthome Building,,,
,Rows,,,,,,
,,LEVEL - GROUND (Rooms),grouping,LEVEL - GROUND (Rooms),,,
,,Nurse Call,dynamic,Nurse Call,Rooms,Level - Ground,Resthome Building
,,MATV,dynamic,MATV,Rooms,Level - Ground,Resthome Building
,,Data,dynamic,Data,Rooms,Level - Ground,Resthome Building
,,LEVEL - GROUND (Common Areas),grouping,LEVEL - GROUND (Common Areas),,,
,,Nurse Call,dynamic,Nurse Call,Common Areas,Level - Ground,Resthome Building
,,CCTV,dynamic,CCTV,Common Areas,Level - Ground,Resthome Building
,,Access Control,dynamic,Access Control,Common Areas,Level - Ground,Resthome Building
,Columns,,,,,,
,,Fit-off ,,Fit-off ,,,
,,Testing,,Testing,,,
