resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Stage 1,,,,,,,,
,step,,,,Basement,,,,,,,
,step,,,,,Common Areas,,,,,,
,step,,,,,,Activity Room,,,,,
Common Areas - Pre Wire,checklist,,,,,,,Pre Wire,,,,
Common Areas - Terminated & Tested,checklist,,,,,,,Terminated & Tested,,,,
Common Areas - Fit off,checklist,,,,,,,Fit off,,,,
,step,,,,,,Toilets,,,,,
Common Areas - Pre Wire,checklist,,,,,,,Pre Wire,,,,
Common Areas - Terminated & Tested,checklist,,,,,,,Terminated & Tested,,,,
Common Areas - Fit off,checklist,,,,,,,Fit off,,,,
,step,,,,,,Gym,,,,,
Common Areas - Pre Wire,checklist,,,,,,,Pre Wire,,,,
Common Areas - Terminated & Tested,checklist,,,,,,,Terminated & Tested,,,,
Common Areas - Fit off,checklist,,,,,,,Fit off,,,,
,step,,,,,,Lobby 2,,,,,
Common Areas - Pre Wire,checklist,,,,,,,Pre Wire,,,,
Common Areas - Terminated & Tested,checklist,,,,,,,Terminated & Tested,,,,
Common Areas - Fit off,checklist,,,,,,,Fit off,,,,
,step,,,,,,Carpark 10,,,,,
Common Areas - Pre Wire,checklist,,,,,,,Pre Wire,,,,
Common Areas - Terminated & Tested,checklist,,,,,,,Terminated & Tested,,,,
Common Areas - Fit off,checklist,,,,,,,Fit off,,,,
,step,,,,,,Lobby 1,,,,,
Common Areas - Pre Wire,checklist,,,,,,,Pre Wire,,,,
Common Areas - Terminated & Tested,checklist,,,,,,,Terminated & Tested,,,,
Common Areas - Fit off,checklist,,,,,,,Fit off,,,,
,step,,,,,,Storage 1,,,,,
Common Areas - Pre Wire,checklist,,,,,,,Pre Wire,,,,
Common Areas - Terminated & Tested,checklist,,,,,,,Terminated & Tested,,,,
Common Areas - Fit off,checklist,,,,,,,Fit off,,,,
,step,,,,,,Bicycle Parking,,,,,
Common Areas - Pre Wire,checklist,,,,,,,Pre Wire,,,,
Common Areas - Terminated & Tested,checklist,,,,,,,Terminated & Tested,,,,
Common Areas - Fit off,checklist,,,,,,,Fit off,,,,
,step,,,,,Repeaters,,,,,,
Common Areas - Pre Wire,checklist,,,,,,Pre Wire,,,,,
Common Areas - Terminated & Tested,checklist,,,,,,Terminated & Tested,,,,,
Common Areas - Fit off,checklist,,,,,,Fit off,,,,,
,step,,,,Ground Floor,,,,,,,
,step,,,,,Common Areas,,,,,,
,step,,,,,,Activity Area,,,,,
Common Areas - Pre Wire,checklist,,,,,,,Pre Wire,,,,
Common Areas - Terminated & Tested,checklist,,,,,,,Terminated & Tested,,,,
Common Areas - Fit off,checklist,,,,,,,Fit off,,,,
,step,,,,,,Sun Room,,,,,
Common Areas - Pre Wire,checklist,,,,,,,Pre Wire,,,,
Common Areas - Terminated & Tested,checklist,,,,,,,Terminated & Tested,,,,
Common Areas - Fit off,checklist,,,,,,,Fit off,,,,
,step,,,,,,Dining/Activity,,,,,
Common Areas - Pre Wire,checklist,,,,,,,Pre Wire,,,,
Common Areas - Terminated & Tested,checklist,,,,,,,Terminated & Tested,,,,
Common Areas - Fit off,checklist,,,,,,,Fit off,,,,
,step,,,,,,Library (Cabinetry),,,,,
Common Areas - Pre Wire,checklist,,,,,,,Pre Wire,,,,
Common Areas - Terminated & Tested,checklist,,,,,,,Terminated & Tested,,,,
Common Areas - Fit off,checklist,,,,,,,Fit off,,,,
,step,,,,,,Toilets (Bar),,,,,
Common Areas - Pre Wire,checklist,,,,,,,Pre Wire,,,,
Common Areas - Terminated & Tested,checklist,,,,,,,Terminated & Tested,,,,
Common Areas - Fit off,checklist,,,,,,,Fit off,,,,
,step,,,,,,Lounge 2,,,,,
Common Areas - Pre Wire,checklist,,,,,,,Pre Wire,,,,
