Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
9c121f03-48e9-44db-9d4b-58728fcf166c,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -1,Pre-Pour Checklist 1 (Remaining Units),,
30c274ef-5b29-4639-990f-67a472f15a1e,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -2,Pre-Pour Checklist 1 (Remaining Units),,
8da45d25-78a1-490f-b23a-f58e3ca4c2ae,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -3,Pre-Pour Checklist 1 (Remaining Units),,
a26759e1-9194-407f-90b8-fbd709cdc6f8,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -4,Pre-Pour Checklist 1 (Remaining Units),,
23ad473d-73a6-4e10-a9b4-2c5241c93c3d,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -5,Pre-Pour Checklist 1 (Remaining Units),,
ff70c4a8-a1b6-4170-b231-3356155fdf43,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -6,Pre-Pour Checklist 1 (Remaining Units),,
b33f613a-e865-4422-8e10-49a4cf5f4dd0,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -7,Pre-Pour Checklist 1 (Remaining Units),,
01795dc0-53e1-4a34-8ddf-edfd75f9186a,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -8,Pre-Pour Checklist 1 (Remaining Units),,
4dedc91b-c084-4520-971c-d1b85cf167dc,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -9,Pre-Pour Checklist 1 (Remaining Units),,
0038803c-bd63-4171-b334-2f69e3633d12,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -10,Pre-Pour Checklist 1 (Remaining Units),,
c0c26483-bceb-4e27-96b0-467e7c2eb053,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -11,Pre-Pour Checklist 1 (Remaining Units),,
88c9a64c-792a-4c34-9108-939efc55ed49,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -12,Pre-Pour Checklist 1 (Remaining Units),,
53164ef9-25fb-4e62-a135-da2c51153b9d,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -13,Pre-Pour Checklist 1 (Remaining Units),,
d3fb364e-ab73-4667-a4f8-eb308df3fd62,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -14,Pre-Pour Checklist 1 (Remaining Units),,
23d5b227-fde1-4b5b-bde3-6f2c57ea2811,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -15,Pre-Pour Checklist 1 (Remaining Units),,
1b1920da-98c5-49cf-907a-10799046e594,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -16,Pre-Pour Checklist 1 (Remaining Units),,
0bddedf7-22eb-4f1c-9269-30ba24ec2ab6,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -17,Pre-Pour Checklist 1 (Remaining Units),,
2af1a90f-c930-45f6-8d00-ea78e61f8699,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -18,Pre-Pour Checklist 1 (Remaining Units),,
518bb5e0-009a-44ac-98d1-390579ef5c28,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -19,Pre-Pour Checklist 1 (Remaining Units),,
a14cf5ce-1dbe-46b0-b493-02d0200ef629,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -20,Pre-Pour Checklist 1 (Remaining Units),,
8156cce3-9da1-49f0-9167-f7ba3501ae40,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -21,Pre-Pour Checklist 1 (Remaining Units),,
75462a23-fa54-4147-bdfd-1bdece07f564,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -22,Pre-Pour Checklist 1 (Remaining Units),,
c48d24de-5164-498e-8c46-d08e641e5a47,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -23,Pre-Pour Checklist 1 (Remaining Units),,
60fe44cc-7dc9-476c-8485-d0ef4e1d7b4e,,checklist-sectioned,,Pre-Pour Checklist 1 (Remaining Units),checklist,FALSE,FALSE,Manufacture QA,BW.1 -24,Pre-Pour Checklist 1 (Remaining Units),,
