"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"87a3da09-417d-4155-8614-d044d51fbd9b","","folder-normal","work-in-progress","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"6c1c2be2-80d2-4562-8ba7-8cda6af7afda","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001"
"6ce9cc6b-4294-4feb-aa14-2b2f97edef16","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1"
"070e3154-6e34-467e-b972-f64318b0335a","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001","Concrete Delivery Checklist"
"ca55d2c1-0edf-40f1-b9f4-90aa5f483da5","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P002"
"c252fba6-7d04-4092-9848-638367cadbb2","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P002","Pre-Pour Checklist 1"
"61699c0b-cb95-4c05-b582-7f3522c56015","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P002","Concrete Delivery Checklist"
"3e21bdd5-03ad-43ed-8147-80f8fe6d1de9","","folder-normal","not-started","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P003"
"ffee4ee1-26b0-43e7-897b-eebac1252fab","","checklist-sectioned","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P003","Pre-Pour Checklist 1"
"7badd228-a0c5-4e80-81a9-2e71b55c69d7","","checklist-flat","not-started","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P003","Concrete Delivery Checklist"
"8e038eed-734a-49d6-9533-f7b41fa94f41","","folder-normal","not-started","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P004"
"e9438e03-e21b-4fd0-9fd2-a86b7db7274c","","checklist-sectioned","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P004","Pre-Pour Checklist 1"
"14c6a61c-f5f3-4449-a103-c783bcbae51e","","checklist-flat","not-started","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P004","Concrete Delivery Checklist"
"d3580341-0449-414f-9ebf-2af3907b9c2e","","folder-normal","not-started","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P005"
"b2bf3845-e76c-4cd2-8eab-816118b971fe","","checklist-sectioned","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P005","Pre-Pour Checklist 1"
"6e47f26b-62da-4088-8b51-c297524ee1b3","","checklist-flat","not-started","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P005","Concrete Delivery Checklist"
"4efbccc1-7032-4175-868c-89ac56b12920","","folder-normal","not-started","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P006"
"d8ea36e7-e7e9-4fbe-bf2c-57a0763cf478","","checklist-sectioned","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P006","Pre-Pour Checklist 1"
"0708bd46-2096-4933-bb36-461e8b9f4b22","","checklist-flat","not-started","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P006","Concrete Delivery Checklist"
"6f964ab4-0b0b-492b-aad5-f5fb2d1ddb85","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P007"
"86715ef3-9c38-42b5-93c5-f51f09d67ef3","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P007","Pre-Pour Checklist 1"
"c2ce3d6b-3ce6-40da-9605-b4838a2d8399","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P007","Concrete Delivery Checklist"
"1f8ea390-459c-4c3d-9bb7-fbb057bad612","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P008"
"cf286ee4-9d2e-4663-aa34-7f26c05cff87","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1"
"5f110df9-b891-422d-9f9a-b06875bdf22f","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P008","Concrete Delivery Checklist"
"8bb83fdb-0ebd-4ea7-9d06-e1acb8fe430c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Transport to Site"
