resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA,,,,,,,,
,step,,,,Switchboard,,,,,,,
MSSB checklist,checklist,,,,,MSSB-B-01,,,,,,
MSSB checklist,checklist,,,,,MSSB-B-02,,,,,,
MSSB checklist,checklist,,,,,MSSB-G-01,,,,,,
MSSB checklist,checklist,,,,,MSSB-G-02,,,,,,
MSSB checklist,checklist,,,,,MSSB-G-03,,,,,,
MSSB checklist,checklist,,,,,MSSB-L1-01,,,,,,
MSSB checklist,checklist,,,,,MSSB-L1-02,,,,,,
MSSB checklist,checklist,,,,,MSSB-RF-01,,,,,,
MSSB checklist,checklist,,,,,MSSB-RF-02,,,,,,
,step,,,,Variable Speed Drives,,,,,,,
VSD checklist,checklist,,,,,VSD-CPSF-1,,,,,,
VSD checklist,checklist,,,,,VSD-CPEF-1,,,,,,
VSD checklist,checklist,,,,,VSD-KSF-1,,,,,,
VSD checklist,checklist,,,,,VSD-KEF-01,,,,,,
VSD checklist,checklist,,,,,VSD-EF-B-02 (DEU-01),,,,,,
VSD checklist,checklist,,,,,VSD-EF-R1,,,,,,
VSD checklist,checklist,,,,,VSD-EF-R2,,,,,,
VSD checklist,checklist,,,,,VSD-EF-R3,,,,,,
VSD checklist,checklist,,,,,VSD-EF-R4,,,,,,
VSD checklist,checklist,,,,,VSD-EF-R5,,,,,,
VSD checklist,checklist,,,,,VSD-EF-R6,,,,,,
VSD checklist,checklist,,,,,VSD-EF-R8,,,,,,
VSD checklist,checklist,,,,,VSD-FCEF-01,,,,,,
,step,,,,Ventilation Fans,,,,,,,
Ventilation Fans checklist,checklist,,,,,EF-B-01,,,,,,
Ventilation Fans checklist,checklist,,,,,EF-B-03,,,,,,
Ventilation Fans checklist,checklist,,,,,EF-B-04,,,,,,
Ventilation Fans checklist,checklist,,,,,EF-B-05,,,,,,
Ventilation Fans checklist,checklist,,,,,TEF-G-1,,,,,,
Ventilation Fans checklist,checklist,,,,,EF-G-01,,,,,,
Ventilation Fans checklist,checklist,,,,,EF-G-02,,,,,,
Ventilation Fans checklist,checklist,,,,,EF-G-03,,,,,,
Ventilation Fans checklist,checklist,,,,,TEF-R2,,,,,,
Ventilation Fans checklist,checklist,,,,,EF-R7,,,,,,
Ventilation Fans checklist,checklist,,,,,SAF-R1,,,,,,
Ventilation Fans checklist,checklist,,,,,TEF-R1,,,,,,
Ventilation Fans checklist,checklist,,,,,TEF-R3,,,,,,
,step,,,,ERV / HRV Unit,,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-G.01,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-G.02,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-G.03,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-G.04,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-G.05,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-G.06,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-G.07,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-G.08,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-G.09,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-G.10,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-G.11,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-G.12,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.01,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.02,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.03,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.04,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.05,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.06,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.07,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.08,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.09A,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.09B,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.10,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.11,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.13,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.14,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.15,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.16,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.17,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.19,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.20,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.21,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.22,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L1.23,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L2.01A,,,,,,
ERV / HRV Checklist,checklist,,,,,HRU-L2.01B,,,,,,
ERV / HRV Checklist,checklist,,,,,AHU-R1,,,,,,
,step,,,,VRF / Split AC Unit,,,,,,,
,step,,,,,Admin,,,,,,
,step,,,,,,Ground Floor,,,,,
AC Condensor checklist,checklist,,,,,,,OU-G-01,,,,
Branch Box checklist,checklist,,,,,,,BS-G-01,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.01,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.02,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.04,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.05,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.06,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.07,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.08A,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.08B,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.08C,,,,
,step,,,,,Labs,,,,,,
,step,,,,,,Ground Floor (1),,,,,
AC Condensor checklist,checklist,,,,,,,OU-G-02,,,,
Branch Box checklist,checklist,,,,,,,BS-G-02,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.15A,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.15B,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.16,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.17,,,,
,step,,,,,,Ground Floor (2),,,,,
AC Condensor checklist,checklist,,,,,,,OU-G-03,,,,
Branch Box checklist,checklist,,,,,,,BS-G-03,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.14,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.18,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.19,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.20,,,,
,step,,,,,,Ground Floor (3),,,,,
AC Condensor checklist,checklist,,,,,,,OU-G-04,,,,
Branch Box checklist,checklist,,,,,,,BS-G-04,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.09,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.11,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.12,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.13,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.22,,,,
FCU-AC checklist,checklist,,,,,,,AC-G.23,,,,
