"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fc543406-6c36-42b3-b9d1-552470a5cffa","","not-started","","folder","TRUE","FALSE","Site Diary"
"400bdd7c-5c80-4d9c-b745-e867ff114044","","not-started","","folder","TRUE","FALSE","Site Diary","Undocumented variations"
"8c1b7d94-313b-4d66-8415-237af25c17c5","","not-started","Undocumented Variations","checklist","FALSE","FALSE","Site Diary","Undocumented variations","Builder"
"6d50e0ed-c4f8-458d-a652-37ca2f09c744","","not-started","Undocumented Variations","checklist","FALSE","FALSE","Site Diary","Undocumented variations","Subcontractors"
"5b5ea88d-7f18-4a7f-b08d-34920dfda13d","","not-started","Site Diary Checklist","checklist","FALSE","FALSE","Site Diary","Site Diary comments/notes"
"292eec6f-e725-4b61-a920-f03f9c045932","","no-status-not-started","","folder","TRUE","FALSE","Toolbox Meetings"
"d606ee61-372c-4d51-8ad6-d222ad2b1686","","no-status-not-started","","folder","TRUE","FALSE","Toolbox Meetings","August 2024"
"ac1e1b80-3f46-4577-9094-99d6db015880","","no-status-not-started","","folder","TRUE","FALSE","Toolbox Meetings","September 2024"
"21bf49c7-e65c-4f42-85b1-68f2cc4e0f1d","","no-status-not-started","","folder","TRUE","FALSE","Toolbox Meetings","October 2024"
"ebe68efa-04c5-4380-a06e-b287600dfaa2","","not-started","","folder","TRUE","FALSE","Project Drawings"
"e094ee9a-957b-4372-ba6a-249914c6ece1","","not-started","Project Drawings","checklist","FALSE","FALSE","Project Drawings","Peno Drawings"
"76458290-c0df-4138-892e-32d945d1cff9","","not-started","Project Drawings","checklist","FALSE","FALSE","Project Drawings","Fabb Sheets"
"2b93fe90-1f78-462e-a851-25630f58169e","","not-started","Project Drawings","checklist","FALSE","FALSE","Project Drawings","Fitters Drawings"
"65877ca3-92f5-40f5-960b-8d72255e4627","","not-started","Project Drawings","checklist","FALSE","FALSE","Project Drawings","RCP"
"f2c4994d-b348-4891-8f27-26aac77e5957","","not-started","Project Drawings","checklist","FALSE","FALSE","Project Drawings","Material Sheets"
"0b6ac7eb-d4a4-4595-8928-147e5eb5e5c5","","fail","","folder","TRUE","FALSE","Site QA"
"0a697817-2744-4743-b23d-9e0f5965b7d4","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Sub-Basement - Lobby"
"4a19ba6d-03fd-4338-a7bd-3b3ffefadb9a","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Basement - Lobby"
"9f2b8c51-4c85-45b1-9ea1-d0619e8d807a","","not-started","","folder","TRUE","FALSE","Site QA","Ground"
"f1a589e0-ca78-4f9b-bf10-411843567ed5","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Ground","West"
"dfe4e1e8-4277-4d33-acab-e53a581a19c9","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Ground","East"
"5710d9cb-8c60-422c-a9b8-d67e72a3f8cc","","not-started","","folder","TRUE","FALSE","Site QA","Mezzanine"
"1dbf0b06-6b82-46d1-8933-fe3abf1801d4","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Mezzanine","West"
"815813b5-336a-4bf1-8ba0-dd01b7e380c2","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Mezzanine","East"
"ec6a6925-93a2-4673-b66d-f4a753310d72","","not-started","","folder","TRUE","FALSE","Site QA","Level 1"
"26343354-61f5-4649-8171-70e65fae48ae","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 1","Lobby"
"d692f3f5-f102-462d-baeb-0d3b4f2942ce","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 1","Lounge"
"80e9fbac-4ac2-4aa1-9864-4292948996cf","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 1","Unit 11"
"4157f4e7-1af8-48e7-91a4-c551df274437","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 1","Unit 13"
"c25d5d78-5a71-4d2f-99ed-29ada5d9670d","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 1","Unit 15"
"782fd3dc-efc5-4c47-926e-c576cf94d381","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 1","Unit 16"
"ba29bed6-deae-45eb-808c-4976439ce48b","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 1","Unit 17"
"27dbe9a5-4462-49f2-95ed-0edabe36fcf1","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 1","Unit 18"
"df02e35f-8838-4b67-9b0b-c874cec136e7","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 1","Unit 19"
"ddc8f3a6-b122-4330-b103-ed8fa395cc76","","not-started","","folder","TRUE","FALSE","Site QA","Level 2"
"38546d54-f702-4ffe-b03e-19fad672e90c","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 2","Lobby"
"770d8d72-d93c-4d0e-b50f-5340b38d7bdf","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 2","Unit 21"
"f423a73b-5a19-4590-81ba-0345a7814afe","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 2","Unit 22"
"214b7df9-e841-4225-a0f0-190a5acc8422","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 2","Unit 23"
"8fd9d417-3fab-44cd-9ba7-8801ff47ed2c","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 2","Unit 25"
"ea1a7b9c-ca07-4d5f-83c5-b014247b3b0d","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 2","Unit 26"
"c34bcee0-a13e-4307-a906-de7aacaff10a","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 2","Unit 27"
"dff787a6-d7fe-4e5f-acb1-1da6f898b953","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 2","Unit 28"
"ccb8434a-1368-444c-b75d-0297ed40958b","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 2","Unit 29"
"883309c7-df63-49fc-9f02-930b3fcf6d27","","not-started","","folder","TRUE","FALSE","Site QA","Level 3"
"ea85591d-d1af-4530-9348-303ac806354d","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 3","Lobby"
"362d54ec-937a-4933-9ed8-40567538856e","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 3","Unit 31"
"37ebb386-12ee-44f3-9e82-83095305c228","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 3","Unit 32"
"79a0807a-6582-4dc0-85ee-aa52401e352f","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 3","Unit 33"
"ab162e16-eba1-4b42-8be9-9e668e21d390","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 3","Unit 34"
