"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"46640e4b-7c06-47fd-899a-d5fd53d9a582","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"f9bd2934-4554-4d61-99a8-41dce02f57e8","","checklist-sectioned","not-started","Preliminary Activities and Materials Approval Checklist","checklist","FALSE","FALSE","Site QA","Prelim Activities"
"c5302932-ac01-5029-a069-567f62872ad5","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Prelim Activities","Preliminary Activities (Approved by Client)"
"ad98d6aa-e4a6-56a9-94b9-36c84fe808b3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Preliminary Activities (Approved by Client)","Compliance to AS/NZ ISO 9001:2015"
"5de7c072-6132-5d7c-8dda-907cc8572771","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Preliminary Activities (Approved by Client)","Permacast Project Quality Management Plan"
"128e5c84-2333-5c3e-b9b5-cb5ef092000b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Preliminary Activities (Approved by Client)","Inspection & Test Plan"
"0ae78849-eee6-57a0-8b71-bbabaf63b7e2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Preliminary Activities (Approved by Client)","MDR Index"
"2e677fed-6e9a-5d80-a3db-d13a9ae89558","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Preliminary Activities (Approved by Client)","Work Method Statement (WMS) - Prestress"
"bb7eba22-6158-5311-ae65-a48f446df2fc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Preliminary Activities (Approved by Client)","Work Method Statement (WMS) - Curing"
"11bd8f05-f60e-5a08-bab7-b2ee408dbbd5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Preliminary Activities (Approved by Client)","Concrete Repair Methodology"
"95a75d31-888d-5447-b534-fa5f7c6fb1ab","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Preliminary Activities (Approved by Client)","Shop Drawings"
"b1bb6f33-d6a7-5129-a2ea-9d3f687f988b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Preliminary Activities (Approved by Client)","Test Panel Prepared and Inspected by Client"
"30dc05fa-cedc-5690-9f65-0cad66e91d73","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Preliminary Activities (Approved by Client)","All Technical Query Forms (TQs) Reviewed and Approved for Works"
"380b1763-c15b-5774-b9cd-45da346d316f","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Prelim Activities","Concrete"
"9a8d7fc6-45ab-5478-b7ff-cf131310b3c0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Concrete","S65 Concrete Mix Design Approved by Client"
"3153ac07-d54d-5afb-841f-4c4edcc9dafd","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Prelim Activities","Steel Reinforcement"
"df56df7e-fc13-521f-9783-0468aead1147","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Steel Reinforcement","Inspection of Delivery to Confirm Compliance with Order and Drawings"
"e490c381-694e-5f46-82db-c4617454f5ad","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Steel Reinforcement","Cut Bar Length Tolerance +0mm -10mm, Bends in Plane, Correct Cog Lengths etc."
"135f8123-2d93-5207-87aa-7d37837e4f9a","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Prelim Activities","Prestressing Tendons"
"405d3387-3cae-5448-a15b-1178b5c71936","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Prestressing Tendons","Inspection of Delivery to Confirm Compliance with Order and Drawings"
"6021d487-9137-5541-810f-768379d1bfc6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Prestressing Tendons","Ensure that all Coil Numbers are recorded"
"54e081ee-e9c5-56ab-b9a7-a7763c0a6585","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Prestressing Tendons","Stressing Calculations Submitted and Approved by Client for Works"
"83d392e4-56a5-575d-9b8c-65471effc1f4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Prestressing Tendons","Stressing Jack Calibration Certificates"
"a12e94d7-4f34-5b2e-a45c-d98766cb5d57","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Prelim Activities","Lifting Anchors"
"b4aa6b48-9edf-5a12-b3f9-208b7d242e37","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Lifting Anchors","Lifting Design Approved by Client"
"8b28fa75-f12f-52a6-8c8d-a860de90c1df","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Lifting Anchors","Lifting Devices Approved by Client"
"8f5d588a-22be-5c7c-844d-4e500cce3c82","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Lifting Anchors","Inspection of Delivery for Completeness and Quality"
"f585a980-968d-594b-9a34-5d698f16d456","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Prelim Activities","Cast-in Items and Ferrules"
"ad6a6f8d-c018-5ef9-ac32-32ab5fbae3c0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Cast-in Items and Ferrules","All Cast in Materials Approved"
"e5126b07-90c3-541f-8439-cbddfff0c5cf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Prelim Activities","Cast-in Items and Ferrules","Inspection of Delivery for Completeness and Quality"
"ae73c350-c09c-4fde-9040-93d2cc136b0c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Beam 46-E&W"
"cb71466e-9982-4d38-b28a-51b6bc3a7202","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E"
"c16beb81-3a62-5327-889e-7c102b46466d","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist"
"e3ea6531-0a20-54b3-b0ae-2bf0e22f9956","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","Details"
"e8bf146a-4321-5c96-a3c4-ba12d17427e5","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","Shop Drawings approved for Works"
"01c01889-b704-513b-a5b2-c23de0fd1c6c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","Mould Dimensions are within Shop Drawings Tolerance"
"05b9d0cc-1928-507a-9617-365ec36f019c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","Mould Surface Checked"
"dc46b5c8-7b03-528c-b1df-753d92a8d8cd","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","Reinforcement in Accordance with Drawings"
"daa58a4b-2268-5314-8ef6-116c553762f1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","Detailed inspection of Mould and cage"
"737b73eb-d3f0-5b0e-b3f7-d3552790df2e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","Cover maintained and within tolerance"
"0bef294a-f9ff-50b0-b2d7-0907cc5c4868","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","All Stainless Steel Ferrules are installed in accordance with Drawings"
"42e152ce-eed3-5fc7-ba26-20a104e3155e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","All Stainless Items are installed in accordance with Drawings"
"acb58967-fa47-5a32-9ace-cb7f45fb00e8","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","All Blockout Conduits are installed in accordance with Drawings"
"b7a97976-53dc-55f2-8709-93df9e6d075d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","All Lifting Inserts are installed in accordance with Drawings"
"3195ca63-7f42-5593-9688-e9dff37774b0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","All Bartek Couplers are installed in accordance with Drawings"
"ec90a7a1-7348-5e3c-b36e-daf12cbfe377","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","All LENTON Couplers are installed in accordance with Drawings and staggered aith KSN16M in web"
"7d7036da-7d08-5ad8-925a-f6d55e2d2d7e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","All Bearing plates in Diaphragms are installed as per drawings"
"698a22a6-7687-5d19-86a9-04b380ffd51a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","Earthing and Bonding is installed in accordance with Drawings"
"857af769-46c7-55d0-b192-d546c4a2f995","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","Prestressing Strands"
"db2cd1f9-5513-5c05-a457-bf4988ccf156","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","Stressing Records subject to Client Review"
"fb508e46-3219-5dc8-adcc-0a3f1a947793","","holdpoint","pass","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","HOLD POINT FOR CLIENT TO SIGN OFF"
"0cd7f1cc-15ad-5133-acf8-bc5d95d60129","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","All Temperature Loggers are installed as per Approved WMS"
"3688a063-f057-5bec-848a-451ab03c227a","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","All Cooling tubes installed as per drawings"
"d4ca1aed-fddd-5f37-a84d-d7af7abc965e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","Installation of tubs"
"ca2a5933-c3d7-555a-a746-bdb1c545b01b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","QA Engineer Check Completed by"
"b3c1d36b-559c-5fe5-9e03-af533e9f0533","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Pre-Pour Checklist","Client Inspector (if present)"
"2a5bbb78-ca62-5787-a8fe-a2ef72951fb2","","checkpoint-group","not-applicable","","","FALSE","FALSE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Supervisor Release"
"b0093705-0f68-5149-bdf1-387732b8424d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Supervisor Release","Supervisor Release to Engineering Team"
"a2f47f1b-5867-59c1-9489-0153d9a40e33","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E","Casting Checklist"
