"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"46640e4b-7c06-47fd-899a-d5fd53d9a582","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"f9bd2934-4554-4d61-99a8-41dce02f57e8","","checklist-sectioned","not-started","Preliminary Activities and Materials Approval Checklist","checklist","FALSE","FALSE","Site QA","Prelim Activities"
"ae73c350-c09c-4fde-9040-93d2cc136b0c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Beam 46-E&W"
"cb71466e-9982-4d38-b28a-51b6bc3a7202","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-E"
"aa8a39b0-8aff-444d-8305-94f2d56e26ad","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 46-E&W","Byford U-Beam Stage-2 Casting Checklist 46-E"
"3aab70b0-b7a7-406a-9ec2-3fb115644807","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 46-E&W","Byford U-Beam Stage-1 Casting 46-W"
"9b15b775-b0ed-4e4e-8987-6d76b705f8b2","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 46-E&W","Byford U-Beam Stage-2 Casting Checklist 46-W"
"14b78b65-3ea4-4568-a1af-c076ccdde865","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Beam 43-E&W"
"e157cce0-6bd0-4b2d-98ab-14095703a54b","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 43-E&W","Byford U-Beam Stage-1 Casting 43-E"
"09e7a7a6-7e67-4c7f-b98c-a900047aaa29","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 43-E&W","Byford U-Beam Stage-2 Casting Checklist 43-E"
"2c9d9fbf-0731-404e-ade3-7005e3a127dc","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 43-E&W","Byford U-Beam Stage-1 Casting 43-W"
"9fa27af6-5a60-4811-9cd2-5524724d4f93","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 43-E&W","Byford U-Beam Stage-2 Casting Checklist 43-W"
"6a3ff781-1b8b-4f73-bb2a-87c0eec70402","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Beam 13-E&W"
"01d366e6-6ccc-4328-9d55-40242a918105","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 13-E&W","Byford U-Beam Stage-1 Casting 13-E"
"1ee72c3e-ce1b-426f-a083-98392cd0a506","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 13-E&W","Byford U-Beam Stage-2 Casting Checklist 13-E"
"3e5b4104-e3a4-4967-b475-3c049a5fa829","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 13-E&W","Byford U-Beam Stage-1 Casting 13-W"
"d5fd9f63-0f40-4efe-b851-874cab771d80","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 13-E&W","Byford U-Beam Stage-2 Casting Checklist 13-W"
"0cb4a068-664b-4e70-8241-91e1c1635ce0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Beam 04-E&W"
"002a8f07-b588-4937-899a-bf0bdbd24e10","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 04-E&W","Byford U-Beam Stage-1 Casting 04-E"
"126fe8ae-9817-4e67-b952-e413c62516e4","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 04-E&W","Byford U-Beam Stage-2 Casting Checklist 04-E"
"8d395b8e-3abd-4265-83ff-70d76ef607df","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 04-E&W","Byford U-Beam Stage-1 Casting 04-W"
"1c0c783e-d24a-4e80-87ab-c9824c9abad0","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 04-E&W","Byford U-Beam Stage-2 Casting Checklist 04-W"
"b0ec8524-dce8-46d6-8607-8b62bf6383ba","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Beam 01-E&W"
