"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"04e486ea-9dc8-464d-bde3-ae240929aa5b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"899d4a3f-98f4-4ae4-ba59-d6758b2f539c","","checklist-sectioned","not-started","Preliminary Activities and Materials Approval","checklist","FALSE","FALSE","Site QA","Prelim Activities"
"035b2b3e-8202-4666-ab0e-c75c9261b5b2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Precast Piers"
"45f18959-f230-4471-a790-56334ee61e4c","","checklist-sectioned","work-in-progress","Precast Piers","checklist","FALSE","FALSE","Site QA","Precast Piers","Cast 1 - PC34-CW"
"ff5daea4-f55f-48b3-b116-872da09091f9","","checklist-sectioned","work-in-progress","Precast Piers","checklist","FALSE","FALSE","Site QA","Precast Piers","Cast 2 - PC35-CW"
"f280ecd7-c7e4-4d0a-981c-40e8dc9e2c3e","","checklist-sectioned","work-in-progress","Precast Piers","checklist","FALSE","FALSE","Site QA","Precast Piers","Cast 3 - PC34-W"
"e1f1c4fd-d4c0-4457-890b-15705da6ae79","","checklist-sectioned","work-in-progress","Precast Piers","checklist","FALSE","FALSE","Site QA","Precast Piers","Cast 4 - PC35-W & PC36-W"
"f837c8c8-33b7-4a8b-b62f-b190b70497dd","","checklist-sectioned","work-in-progress","Precast Piers","checklist","FALSE","FALSE","Site QA","Precast Piers","Cast 5 - PC37-W"
"06d50b37-8bf7-4636-839e-dcd6e9df4fbf","","checklist-sectioned","work-in-progress","Precast Piers","checklist","FALSE","FALSE","Site QA","Precast Piers","Cast 6 - PC38-W"
"e6171f4e-7d9f-482d-8e7b-adbcb48729bc","","checklist-sectioned","work-in-progress","Precast Piers","checklist","FALSE","FALSE","Site QA","Precast Piers","Cast 7 - PC39-W"
"b7b94b5d-7438-45d3-9342-1c798708227f","","checklist-sectioned","work-in-progress","Precast Piers","checklist","FALSE","FALSE","Site QA","Precast Piers","Cast 8 - PC31-CW"
"b714edd6-0efa-456b-9262-4f7f6da664e5","","checklist-sectioned","work-in-progress","Precast Piers","checklist","FALSE","FALSE","Site QA","Precast Piers","Cast 9 - PC31-W"
"e7c789f2-3c27-445b-a69c-0e462226f888","","checklist-sectioned","work-in-progress","Precast Piers","checklist","FALSE","FALSE","Site QA","Precast Piers","Cast 10 - PC33-CW"
"3431b36e-41b9-4e41-908e-9784960d10b5","","checklist-sectioned","work-in-progress","Precast Piers","checklist","FALSE","FALSE","Site QA","Precast Piers","Cast 11 - PC33-W"
"4a68b77a-5abd-41d9-967c-7d2d8a07c71b","","checklist-sectioned","work-in-progress","Precast Piers","checklist","FALSE","FALSE","Site QA","Precast Piers","Cast 12 - PC32-CW"
"98a81788-54f6-4566-b0da-fcedfa750db0","","checklist-sectioned","work-in-progress","Precast Piers","checklist","FALSE","FALSE","Site QA","Precast Piers","Cast 13 - PC32-W"
"16036913-72af-4753-bc4b-ec305fda8f55","","checklist-sectioned","work-in-progress","Precast Piers","checklist","FALSE","FALSE","Site QA","Precast Piers","Cast 14 - PC30-CW & PC30-W"
"7b590f5c-b906-4cd3-9e4c-5c2011d2850a","","checklist-sectioned","work-in-progress","Precast Piers","checklist","FALSE","FALSE","Site QA","Precast Piers","Cast 15 - PC28-W"
