"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8671d5b4-3417-4325-b0ee-8f96e5286ef7","","fail","","folder","TRUE","FALSE","Site QA"
"0f65930a-2fa9-4702-8e13-a6683926c223","","fail","","folder","TRUE","FALSE","Site QA","Bayswater Planks"
"eaadc45c-522a-4d31-bc44-a7f7da643aef","","fail","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 1_25D06-A024 - REJECTED"
"adc76cc0-2b05-4016-8df5-3d8659b16390","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 2_ 25D05-A024 , 19D11 (new)"
"3ec2786e-d52a-4548-bf70-014b40203d78","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast-3 _ 25D04 and 25D03"
"d666948e-b96a-4f38-bf00-9a8a375e3e97","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 4_22D05, 22D09, 25D08, 25D10"
"360a0c51-8d1f-453c-b9d4-bba81e8d7da9","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 5_22D06, 23D04, 23D05, 23D06"
"809d9ebd-e61e-47fa-af75-a471d3ff75da","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 6 22D04, 23D03, 25D07 "
"68f25808-0488-4409-b419-e0578cbefa47","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 7_22D01, 22D03, 25D09"
"e3ac17c2-6e52-448e-b4aa-e278073336c4","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 8_23D01, 23D02, 25D02"
"87fc1ae3-7836-45e7-ac36-b7f516c3e19d","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 9_22D11, 24D14, 25D01"
"df220b74-e974-4411-bca3-7dc8ea397429","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 10_22D12, 24D10, 24D13"
"7246130e-a88f-4143-9834-7c3d6abc8da7","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 11_22D10, 24D11, 24D12"
"62d71c14-2216-40c8-8928-5f7fee2cb1fd","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 12_24D08, 24D09"
"ee7a6039-699b-48df-83a2-f7359ea734dd","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 13_22D07, 22D08, 24D05, 24D07"
"54fb4d4c-558f-4c0d-9f0e-2d4476e3d479","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 14_21D05, 24D03, 24D06"
"bbdf9f1e-9883-48d0-8728-1a0c4b1ef35d","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 15_21D09, 23D12, 24D01, 24D02, 24D04"
"3a6324a0-fca6-4179-ba68-93b5d4ecb96d","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 16_21D08, 21D10, 21D11, 23D10, 23D11"
"c5f30421-bea3-44aa-92f2-4509a885e512","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 17_20D11, 21D07, 23D08"
"3073d160-4ca2-492c-9510-45b76566d4a6","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 18_19D12, 20D09, 21D06, 23D09"
"cfa49d18-9bd9-46b4-9ac2-1eb144aae624","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 19_20D10, 21D02, 23D13"
"89cda967-a542-483e-ab13-6e7be1512062","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 20_20D07, 20D08, 20D12, 21D04, 23D07"
"4a85e6f9-5d11-4ed5-8d09-94863fd473e0","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 21_19D08, 19D09, 19D10, 21D01, 25D05"
