"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4e421bdb-d7cd-490f-b8b6-e45106dc149c","","pass","","folder","TRUE","FALSE","Site QA"
"25d9585f-628d-44a9-82ce-47d26f8dfb45","","pass","","folder","TRUE","FALSE","Site QA","Whiteman Park"
"17d0565e-5f7c-47de-9742-64b8446a53c2","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 1a - DN-B1"
"10c455d7-4bba-4af7-92e1-92f6383aff11","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 2 - DN-B7 & UP-B7"
"9d97791a-0051-4f97-b6d0-7f0eb72fc92e","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 3 - DN-B3 & UP-B3"
"74447b83-4d6d-41ce-b8ea-8a51fde1eaf5","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 1b - UP-B1"
"c337a508-7d6b-4494-b507-c983883927f1","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 4 DN B-5 & UP B-5"
"8000e71a-c1a4-4d2f-b5b7-344410d4dd9a","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","CAST 5 DN-B2 & UP-B2"
"426a33c1-7e75-42e9-a0f6-4ea77adf7a50","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 6, DN & UP-B4"
"bc2fe438-1402-49a5-9a27-229dc377b759","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 7 - DN & UP-B6"
"117f8451-ad4f-4662-b060-86d9360110f0","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 8 DN & UP-B8"
"8d078b4c-8475-40da-aaa5-ad560270329e","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 9 - DN & UP-B10"
"eff3e4af-5e00-4242-805b-fa10bb56d1a7","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 10 - DN & UP-B12"
"aba29557-b54f-4846-b4b0-6eb6d7229e29","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 11, DN & UP-B9"
"9908c270-5fd5-4c03-847b-1d210963ece4","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 12 - DN & UP-B11"
"dde9035a-b2a4-44ae-9208-7ab54734e856","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 13 - DN & UP-B13"
"5e0084c4-fbf4-4bd8-ba0c-aa679e74fd99","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 14 - DN & UP-B14"
"2ed7ac5a-18c3-4e26-9137-8ed98e65ab8d","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 15 - DN & UP-B15"
"0692ac86-8fe5-4564-97fa-d7d5895b4e39","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 16 - DN & UP-B16"
"87f0103e-39f7-47db-8d8f-37f5ff754600","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 17 - DN & UP-B17"
"cf08f29d-a01b-4273-a265-8377ecab4ab7","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 18 - DN & UP-B18"
"e6c06f59-5f2d-4fcc-bcf7-2a0c8f45e8cc","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 19 - DN & UP-B19"
"9ae06b96-fac1-4233-b161-57ab7e9bf12d","","pass","Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Whiteman Park","Cast 20 - DN & UP-B20"
"dfd7ca60-d76e-4119-a08c-14911574d9ed","","pass","Preliminary Activities and Materials Approval","checklist","FALSE","FALSE","Preliminary Activities and Materials Approval"
