"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7d53d5a4-1d55-4830-8b6d-65f1ad2583df","","folder-normal","work-in-progress","","step","TRUE","FALSE","N24"
"2088d3fa-30e2-4e7e-b10a-6e773f74faa2","","folder-normal","work-in-progress","","step","TRUE","FALSE","N24","Level 0"
"79ff07bc-df93-4df0-8af2-dcb1a940974d","","folder-normal","work-in-progress","","step","TRUE","FALSE","N24","Level 0","App. 1"
"a5f1d37f-bfe6-4635-a617-4924bea2c5cc","","checklist-flat","pass","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 1","W0.3 (Type B)"
"3706f88c-bf69-4ec8-b509-fe96c0284627","","checklist-flat","pass","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 1","W0.2 (Type B)"
"49b26b4e-a844-4ae0-9523-cb6580a8f796","","checklist-flat","pass","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 1","W0.1 (Type E)"
"91cc8562-7cd9-4b0a-8174-63ce1497f9b0","","checklist-flat","work-in-progress","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 1","W0.21 (Type A1)"
"d5a87513-1de9-488d-a99b-508106e01f31","","folder-normal","work-in-progress","","step","TRUE","FALSE","N24","Level 0","App. 3"
"7e9ceeb4-8ed0-4ec4-9f51-31aa6c53118f","","checklist-flat","pass","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 3","W0.20 (Type A1)"
"33e08af0-9aa2-43e9-84d8-217dbc6d9619","","checklist-flat","pass","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 3","W0.19 (Type E)"
"2c1f742a-4a08-41ec-a095-cf629bf799c0","","checklist-flat","pass","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 3","W0.18 (Type B)"
"8d1babaa-1e0a-4a3a-9672-d7cdc173f9e1","","checklist-flat","pass","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 3","W0.17 (Type D)"
"5e0fce38-9420-4dc4-bea0-66e199eb166b","","checklist-flat","pass","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 3","W0.16 (Type B)"
"8f84564b-6978-41d0-9056-313c0ce673c3","","checklist-flat","not-started","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 3","W0.15 (Type G)"
"856c78ad-b07d-43bd-bb08-8d87886b25cf","","folder-normal","work-in-progress","","step","TRUE","FALSE","N24","Level 0","App. 4"
"d92639e4-8a9d-4a75-9b95-5133c9c663f3","","checklist-flat","pass","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 4","W0.14 (Type A3)"
"75853949-4b68-4376-b90e-d13975a5b728","","checklist-flat","work-in-progress","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 4","W0.13 (Type A1)"
"7aec22c4-5e96-4632-ae44-073736d62269","","checklist-flat","pass","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 4","W0.12 (Type F)"
"a0c3873c-819b-4f87-993f-14dd5fc7b70a","","checklist-flat","pass","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 4","W0.11 (Type B)"
"0ce7b99a-a35e-4435-a8cb-8442d64d38d2","","checklist-flat","pass","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 4","W0.10 (Type B)"
"24e8592b-a6d3-471a-9b72-a6bbfb68a0c9","","folder-normal","work-in-progress","","step","TRUE","FALSE","N24","Level 0","App. 2"
"c1819a78-576b-4f9d-999b-94b86fb606f8","","checklist-flat","work-in-progress","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 2","W0.9 (Type A1)"
"d7d20375-f814-437d-81cd-ffdad650e213","","checklist-flat","pass","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 2","W0.8 (Type E)"
"dae8455a-7a8b-497e-80ec-674ab9ed82ae","","checklist-flat","pass","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 2","W0.7 (Type C)"
"6e1d33d9-b738-48d0-83bf-3f664a49d4a9","","checklist-flat","pass","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 2","W0.6 (Type B)"
"6ef310fb-a641-496e-a1d9-2178b1110ab9","","checklist-flat","pass","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 2","W0.5 (Type B)"
"db19024b-6e82-4887-a3dc-6e13bc9c6a10","","checklist-flat","pass","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","App. 2","W0.4 (Type B)"
"6b918da0-212f-4b97-833b-1ae791290e5a","","folder-normal","work-in-progress","","step","TRUE","FALSE","N24","Level 0","Lobby"
"afb8a8ee-e475-44e6-b7a6-1c3f940781cd","","checklist-flat","work-in-progress","088a573a65ff59ec0a936648b8c91983acca5264534a5a3296ae5f0188efb798","checklist-flat","FALSE","FALSE","N24","Level 0","Lobby","CW0.1"
