type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,ST - S - Timber Framing,,,,,,ST - S - Timber Framing
checkpoint,Dimensions / locations checked and accurate,,,,,,
checkpoint,All frames are square / Frames are plumb and level,,,,,,
checkpoint,Fixings are correct ,,,,,,
checkpoint,"Installed in correct level, plumb, correct pitch and braced",,,,,,
checkpoint,Any bracing requirements installed ,,,,,,
checkpoint,All framing completed correctly within tolerance in respective area,,,,,,
checkpoint,Inspections completed and issued to Foreman,,,,,,
holdpoint,CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS,,,,,,
,,,,,,,
checklist-flat,ST - S - Roof structure - Timber Trusses,,,,,,ST - S - Roof structure - Timber Trusses
checkpoint,Truss hardware completed as specified,,,,,,
checkpoint,All fixings in place ,,,,,,
checkpoint,Truss seating checked and accurate ,,,,,,
checkpoint,Tile battens installed and acceptable,,,,,,
checkpoint,Underlay completed and acceptable,,,,,,
checkpoint,Pre-tile checks completed and no issues identified ,,,,,,
checkpoint,Load tiles completed and acceptable,,,,,,
checkpoint,Installation and recheck completed and no issues identified ,,,,,,
checkpoint,Lay capping completed and acceptable,,,,,,
checkpoint,Ridges installed and acceptable,,,,,,
checkpoint,Facia gutters installed and acceptable,,,,,,
checkpoint,Trusses are installed correctly and acceptable,,,,,,
checkpoint,Inspections completed and issued to Foreman,,,,,,
holdpoint,CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS,,,,,,
,,,,,,,
checklist-flat,FC - S - External Envelope,,,,,,FC - S - External Envelope
checkpoint,Eco ply taped nailing checked,,,,,,
label,Supplied & installed by others,,,,,,
checkpoint,RAB board Fixing and spacings checked in accordance with manufacturers specs (Photos attached),,,,,,
checkpoint,Fire strip installed (Photos attached),,,,,,
checkpoint,Soffit checked and accurate (Photos attached),,,,,,
checkpoint,Garage reveals checked and accurate (Photos attached),,,,,,
checkpoint,DPC installed checked and accurate (Photos attached),,,,,,
holdpoint,Request sign off,,,,,,
checkpoint,Inspections completed and issued to Foreman,,,,,,
holdpoint,CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS,,,,,,
,,,,,,,
checklist-flat,"FC - S - Windows, Sliders and Sealants",,,,,,"FC - S - Windows, Sliders and Sealants"
checkpoint,Fixings and clearance around opening min 6mm & max 18mm and PEF rod/air seal are within acceptable tolerance level,,,,,,
checkpoint,"Check taping around, before installing the windows and sliders",,,,,,
checkpoint,Packers to be correctly used and set back to allow continuous air seal,,,,,,
checkpoint,Jambs level and straight for finishing lines on the side,,,,,,
checkpoint,Door and window jambs flush to GIB Board,,,,,,
checkpoint,Check air seal is provided at the rear of the window reveal,,,,,,
checkpoint,All joints detailed as per attached Detail Document,,,,,,
checkpoint,All framing completed correctly within tolerance in respective area,,,,,,
checkpoint,Sill support fixing bars installed for all joinery within acceptable tolerance level,,,,,,
checkpoint,"All windows, sliders and sealant installation completed to specification & within tolerance in respective area(s) ",,,,,,
checkpoint,Inspections completed and issued to Foreman,,,,,,
holdpoint,CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS,,,,,,
,,,,,,,
checklist-flat,POST - S - Skirting/ Architraves & Trims ,,,,,,POST - S - Skirting/ Architraves & Trims 
checkpoint,Architraves/ skirtings & trims are the correct size and profile,,,,,,
checkpoint,"Skirting boards have been properly scribed, sanded, glued and mitred",,,,,,
checkpoint,Architraves/skirtings & trims have been installed with consistent even margins,,,,,,
checkpoint,Skirting/Architraves & trim work completed - specified level of finish achieved ,,,,,,
checkpoint,Inspections completed and issued to Foreman,,,,,,
holdpoint,CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS,,,,,,
,,,,,,,
checklist-flat,POST - S - Hardware Installation,,,,,,POST - S - Hardware Installation
checkpoint,Area accessible and ready to install the hardware,,,,,,
checkpoint,All hardware installation completed correctly within tolerance in respective area (Photos attached),,,,,,
holdpoint,Raise Remedial/ Main Contractor Signoff,,,,,,
checkpoint,Inspections completed and issued to Foreman,,,,,,
holdpoint,CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS,,,,,,
,,,,,,,
checklist-flat,POST - S - Internal door installation ,,,,,,POST - S - Internal door installation 
checkpoint,Door Number(s) / Location checked and accurate,,,,,,
checkpoint,Floor clearance - Adequate for proposed floor coverings,,,,,,
checkpoint,"Fixings - Consider Jamb/Hinges/Door Packer, all installed & secure (Size & type)",,,,,,
checkpoint,Door leaf to jamb gaps parallel & correct (Consider paint thickness(s)),,,,,,
checkpoint,Door opening as required & is plumb,,,,,,
checkpoint,"All doors installed, damage free & completed correctly to specification in respective area(s) ",,,,,,
checkpoint,Inspections completed and issued to Foreman,,,,,,
holdpoint,CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS,,,,,,
,,,,,,,
checklist-flat,POST - S - Handrails ,,,,,,POST - S - Handrails 
checkpoint,Area & substrate acceptable,,,,,,
checkpoint,All handrails install completed correctly within tolerance in respective area,,,,,,
holdpoint,Raise Remedial/ Main Contractor Signoff,,,,,,
checkpoint,Inspections completed and issued to Foreman,,,,,,
holdpoint,CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS,,,,,,
