resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,B01,,,,,,,,
,step,,,,Façade,,,,,,,
,step,,,,,Ground Level,,,,,,
,step,,,,,,Area A,,,,,
,step,,,,,,,North Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,,East Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,,West Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,Area B,,,,,
,step,,,,,,,South Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,,East Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,,West Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,Area C,,,,,
,step,,,,,,,North Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,,South Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,Area D,,,,,
,step,,,,,,,North Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,,East Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,,West Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,Area E,,,,,
,step,,,,,,,South Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,,East Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,,West Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,Level 1,,,,,,
,step,,,,,,Area A,,,,,
,step,,,,,,,North Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,,East Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,,West Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,Area B,,,,,
,step,,,,,,,South Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,,East Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,,West Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,Area C,,,,,
,step,,,,,,,North Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,,South Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,Area D,,,,,
,step,,,,,,,North Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
FC - R - Lintels,checklist,,,,,,,,FC - R - Lintels,,,
,step,,,,,,,East Elevation,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,FC - S - Exterior Timber Framing,,,
FC - S - RAB,checklist,,,,,,,,FC - S - RAB,,,
FC - S - Flashing installation ,checklist,,,,,,,,FC - S - Flashing installation ,,,
FC - S - Tapes,checklist,,,,,,,,FC - S - Tapes,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,,"FC - S - Windows, Sliders and Sealants",,,
