Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
LEVEL 01-04 Progress,,,,,,,
,Scope,,,Site QA,,,
,Rows,,,,,,
,,LEVEL 01 - CONCRETE POURS,grouping,LEVEL 01 - CONCRETE POURS,,,
,,Pour 1 A,,Pour 1 A,CONCRETE POURS,LEVEL 01,Site QA
,,Pour 2 B,,Pour 2 B,CONCRETE POURS,LEVEL 01,Site QA
,,Pour 3 BB,,Pour 3 BB,CONCRETE POURS,LEVEL 01,Site QA
,,Pour 4 C,,Pour 4 C,CONCRETE POURS,LEVEL 01,Site QA
,,LEVEL 01 - APARTMENTS,grouping,LEVEL 01 - APARTMENTS,,,
,,APARTMENTS,,LEVEL 01 APARTMENTS,LEVEL 01,Site QA,
,,LEVEL 01 - BUILDING A,grouping,LEVEL 01 - BUILDING A,,,
,,A101,,A101,BUILDING A,LEVEL 01,Site QA
,,A102,,A102,BUILDING A,LEVEL 01,Site QA
,,A103,,A103,BUILDING A,LEVEL 01,Site QA
,,A104,,A104,BUILDING A,LEVEL 01,Site QA
,,A105,,A105,BUILDING A,LEVEL 01,Site QA
,,LEVEL 01 - BUILDING B,grouping,LEVEL 01 - BUILDING B,,,
,,B101,,B101,BUILDING B,LEVEL 01,Site QA
,,B102,,B102,BUILDING B,LEVEL 01,Site QA
,,B103,,B103,BUILDING B,LEVEL 01,Site QA
,,B104,,B104,BUILDING B,LEVEL 01,Site QA
,,B105,,B105,BUILDING B,LEVEL 01,Site QA
,,LEVEL 01 - BUILDING BB,grouping,LEVEL 01 - BUILDING BB,,,
,,BB101,,BB101,BUILDING BB,LEVEL 01,Site QA
,,BB102,,BB102,BUILDING BB,LEVEL 01,Site QA
,,BB103,,BB103,BUILDING BB,LEVEL 01,Site QA
,,BB104,,BB104,BUILDING BB,LEVEL 01,Site QA
,,BB105,,BB105,BUILDING BB,LEVEL 01,Site QA
,,LEVEL 01 - BUILDING C,grouping,LEVEL 01 - BUILDING C,,,
,,C101,,C101,BUILDING C,LEVEL 01,Site QA
,,C102,,C102,BUILDING C,LEVEL 01,Site QA
,,C103,,C103,BUILDING C,LEVEL 01,Site QA
,,C104,,C104,BUILDING C,LEVEL 01,Site QA
,,C105,,C105,BUILDING C,LEVEL 01,Site QA
,,C106,,C106,BUILDING C,LEVEL 01,Site QA
,,LEVEL 02 - CONCRETE POURS,grouping,LEVEL 02 - CONCRETE POURS,,,
,,Pour 1 A,,Pour 1 A,CONCRETE POURS,LEVEL 02,Site QA
,,Pour 2 B,,Pour 2 B,CONCRETE POURS,LEVEL 02,Site QA
,,Pour 3 BB,,Pour 3 BB,CONCRETE POURS,LEVEL 02,Site QA
,,Pour 4 C,,Pour 4 C,CONCRETE POURS,LEVEL 02,Site QA
,,LEVEL 02 - APARTMENTS,grouping,LEVEL 02 - APARTMENTS,,,
,,APARTMENTS,,LEVEL 02 APARTMENTS,LEVEL 02,Site QA,
,,LEVEL 02 - BUILDING A,grouping,LEVEL 02 - BUILDING A,,,
,,A201,,A201,BUILDING A,LEVEL 02,Site QA
,,A202,,A202,BUILDING A,LEVEL 02,Site QA
,,A203,,A203,BUILDING A,LEVEL 02,Site QA
,,A204,,A204,BUILDING A,LEVEL 02,Site QA
,,A205,,A205,BUILDING A,LEVEL 02,Site QA
,,A206,,A206,BUILDING A,LEVEL 02,Site QA
,,LEVEL 02 - BUILDING B,grouping,LEVEL 02 - BUILDING B,,,
,,B201,,B201,BUILDING B,LEVEL 02,Site QA
,,B202,,B202,BUILDING B,LEVEL 02,Site QA
,,B203,,B203,BUILDING B,LEVEL 02,Site QA
,,B204,,B204,BUILDING B,LEVEL 02,Site QA
,,B205,,B205,BUILDING B,LEVEL 02,Site QA
,,LEVEL 02 - BUILDING BB,grouping,LEVEL 02 - BUILDING BB,,,
,,BB201,,BB201,BUILDING BB,LEVEL 02,Site QA
,,BB202,,BB202,BUILDING BB,LEVEL 02,Site QA
,,BB203,,BB203,BUILDING BB,LEVEL 02,Site QA
,,BB204,,BB204,BUILDING BB,LEVEL 02,Site QA
,,BB205,,BB205,BUILDING BB,LEVEL 02,Site QA
,,LEVEL 02 - BUILDING C,grouping,LEVEL 02 - BUILDING C,,,
,,C201,,C201,BUILDING C,LEVEL 02,Site QA
,,C202,,C202,BUILDING C,LEVEL 02,Site QA
,,C203,,C203,BUILDING C,LEVEL 02,Site QA
,,C204,,C204,BUILDING C,LEVEL 02,Site QA
,,C205,,C205,BUILDING C,LEVEL 02,Site QA
,,C206,,C206,BUILDING C,LEVEL 02,Site QA
,,LEVEL 03 - CONCRETE POURS,grouping,LEVEL 03 - CONCRETE POURS,,,
,,Pour 1 A,,Pour 1 A,CONCRETE POURS,LEVEL 03,Site QA
