type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Enviro Hydrostatic 1,,,,,,
checkpoint,Relevant Australian Standards Checked,,,,,,
label,"Specification / Standard: AS4654.2-2012, Manufacturer’s Technical Data Sheet",,,,,,
checkpoint,"Check Substrate - The surface must be clean, dry and free from all loose particles",,,,,,
checkpoint,Prepare surface to accept primer using scraper (and/or light grind) and vacuum/sweep residual debris. Remove all concrete/mortar projections.,,,,,,
label,Attach Photo,,,,,,
checkpoint,Caulking - Apply Enviro Flex FC / PRO to the junction between floor slab and walls,,,,,,
label,Attach Photo,,,,,,
checkpoint,Primer application - Lightly Spray areas to receive Hydrostatic 1,,,,,,
label,Attach Photo,,,,,,
checkpoint,"Membrane Application (1st coat) - Mix Enviro Hydrostatic 1 thoroughly using a mechanical mixer. Apply first coat of Enviro Hydrostatic 1 by brush or roller 
Use Enviro Joint Band in floor-wall junctions and general movement joints",,,,,,
checkpoint,Membrane Application (2nd coat) - Mix Enviro Hydrostatic 1 thoroughly using a mechanical mixer. Apply second coat of Enviro Hydrostatic 1 by brush or roller,,,,,,
checkpoint,Curing - Allow to cure in accordance with Manufacturers Specifications,,,,,,
checkpoint,Final Inspection and Sign-off. Visually inspect and ensure adequately cured - DO NOT PASS UNTIL HOLDPOINT COMPLETE BELOW,,,,,,
holdpoint,HOLD POINT - CLICK HERE TO REQUEST BUILDER SIGN OFF,,,,,,
